method,alpha,n_roles,effective_rank,effective_rank_raw,participation_ratio,mean_pairwise_l2,mean_pairwise_l2_raw,score_var,score_std
steered,1.0,275,1.2581020920314319,1.265135405363085,1.0952112962715093,2.917529278277358,54.305822536114086,390.3877005021525,19.75823120884439
steered,1.5,275,1.2820252687054954,1.2871566227655153,1.1064520852094004,2.901888122003109,50.68751578359731,336.9215696223294,18.35542343892751
steered,2.0,275,1.3585956254614988,1.3672368022552306,1.1433043805519667,2.862971035272999,42.37400776630918,248.68270318837264,15.769676698917218
steered,2.5,275,1.4720963433839334,1.4905280646501633,1.201085404274891,2.804160759151326,34.69170134619196,175.94789825381508,13.26453535762995
assistant_axis,1.0,275,1.464070493698209,1.4973562295428706,1.2093125803737284,2.959883580766012,55.58121794935687,417.1243656976195,20.42362273686085
assistant_axis,1.5,275,1.4985494289614003,1.5305887398760814,1.2287427641192343,2.961167714355968,53.77381490736428,386.8492636015185,19.66848401889476
assistant_axis,2.0,275,1.6154047750654814,1.6307992104060585,1.2868161726811111,2.983430557702733,38.984312455634566,193.10203266492437,13.896115740196048
assistant_axis,2.5,275,1.8402172560107086,1.7277645728092,1.386935689693173,2.9729489474708077,17.57615935206051,30.091416078463403,5.485564335459334
