role,cos_bare_last,cos_bare_mean,cos_context_last,cos_context_mean
validator,0.08760568499565125,0.08760568499565125,-0.049603234976530075,-0.07594496011734009
vampire,-0.025279879570007324,0.022092361003160477,-0.013160228729248047,-0.05527766793966293
vegan,-0.015914244577288628,0.01773853972554207,-0.033060409128665924,-0.05632980912923813
veteran,-0.05378798767924309,-0.03824305534362793,-0.08196418732404709,-0.10302909463644028
veterinarian,-0.06003877520561218,-0.05616910010576248,-0.044352300465106964,-0.07725611329078674
vigilante,-0.07361171394586563,-0.061507124453783035,-0.07264953851699829,-0.07264953851699829
virtuoso,-0.017795296385884285,-0.015948127955198288,-0.0738997608423233,-0.10435596108436584
virus,-0.035187266767024994,-0.005309533327817917,-0.03150816634297371,-0.07116368412971497
visionary,-0.07180632650852203,-0.030534476041793823,-0.09395794570446014,-0.09589843451976776
void,0.09160447865724564,0.09160447865724564,0.01018960028886795,-0.047271791845560074
wanderer,-0.04487503692507744,-0.03578485548496246,-0.07440409064292908,-0.07440409064292908
warrior,-0.027847357094287872,0.01675589010119438,-0.04117036983370781,-0.06149494647979736
whale,-0.0009858906269073486,0.02098242938518524,0.015208378434181213,-0.05439760535955429
widow,-0.028530139476060867,-0.008204549551010132,-0.03609916567802429,-0.08005183190107346
wind,0.08199046552181244,0.08199046552181244,-0.023560836911201477,-0.06775287538766861
witch,0.060629405081272125,0.060629405081272125,-0.020568035542964935,-0.05596166104078293
witness,-0.08229637145996094,-0.04080052673816681,-0.10233214497566223,-0.12196533381938934
workaholic,-0.04372969642281532,-0.02506425231695175,-0.07120080292224884,-0.06243494153022766
wraith,0.021830841898918152,0.05130435898900032,0.014895468950271606,0.014895468950271606
writer,0.09904300421476364,0.09904300421476364,-0.13920184969902039,-0.12003783136606216
zealot,-0.03989801183342934,-0.01598525047302246,-0.05933397635817528,-0.05933397635817528
zeitgeist,-0.03441878408193588,0.014561451971530914,-0.07572492957115173,-0.07572492957115173
