set	method	n	mean	median	std	p05	p95
sans_mythical	assistant_axis	209562	42.78958971569273	40.0	26.81424005939821	10.0	90.0
sans_mythical	steered	209562	64.98603754497476	70.0	25.55941245233969	20.0	95.0
sans_mythical	baseline	209561	88.57339390440015	92.0	9.211336403512686	75.0	95.0
full	assistant_axis	252430	41.224794992671235	40.0	26.381654773571064	5.0	88.0
full	steered	252430	63.30666323337163	65.0	26.57250293544632	20.0	95.0
full	baseline	252429	89.20002456136181	92.0	8.909210561689594	75.0	95.0
