matrix,n_samples,dim,max_rank,effective_rank,participation_ratio,mean_pairwise_cosine,median_pairwise_cosine,frobenius_norm,d_explains_50pct,d_explains_80pct,d_explains_90pct,d_explains_95pct,d_explains_99pct
repr_raw,275,4096,275,2.734459400177002,1.3756537437438965,0.8522670269012451,0.8610835671424866,63.108219146728516,1,1,4,20,135
repr_centered,275,4096,275,49.648807525634766,15.125911712646484,-0.0010062113869935274,-0.015090935863554478,24.96048355102539,7,45,98,153,237
behavioral,275,24,24,1.9673056861401672,1.4459540714280912,0.0072399045844625245,0.01559528200242284,81.2403840463543,1,1,2,3,6
repr_iid_gaussian_null,275,4096,275,265.87359978910615,257.6179531411525,-0.00016435043271253365,-0.0002108161615066383,63.13950616970468,109,196,233,253,271
