rank_index,singular_value,variance_share,cumulative_variance
1,58.24284744262695,0.8517512083053589,0.8517512083053589
2,11.32109260559082,0.03218134865164757,0.8839325308799744
3,6.831902027130127,0.011719546280801296,0.8956520557403564
4,5.610949516296387,0.00790497101843357,0.9035570025444031
5,5.391770362854004,0.007299453020095825,0.9108564853668213
6,5.279275894165039,0.006998037453740835,0.9178545475006104
7,4.194743633270264,0.004418129101395607,0.9222726821899414
8,3.9673874378204346,0.003952180501073599,0.9262248873710632
9,3.6727778911590576,0.003387013217434287,0.9296119213104248
10,3.546196699142456,0.0031575714237987995,0.9327694773674011
11,3.087820529937744,0.0023940412793308496,0.9351634979248047
12,3.037301778793335,0.0023163461592048407,0.9374798536300659
13,2.831918239593506,0.002013673074543476,0.9394935369491577
14,2.7711081504821777,0.001928122015669942,0.9414216876029968
15,2.575538396835327,0.0016655727522447705,0.9430872797966003
16,2.5166683197021484,0.0015903017483651638,0.9446775913238525
17,2.442016363143921,0.0014973547076806426,0.9461749196052551
18,2.3842227458953857,0.001427319599315524,0.9476022124290466
19,2.2801170349121094,0.0013053945731371641,0.9489076137542725
20,2.2626774311065674,0.0012855022214353085,0.9501931071281433
21,2.112093687057495,0.0011200925800949335,0.9513131976127625
22,2.090088129043579,0.0010968740098178387,0.9524100422859192
23,2.004664897918701,0.0010090464493259788,0.9534190893173218
24,1.9668241739273071,0.0009713117033243179,0.9543904066085815
25,1.9567779302597046,0.0009614144219085574,0.9553518295288086
26,1.8700618743896484,0.0008780909120105207,0.9562299251556396
27,1.8432133197784424,0.0008530584163963795,0.957082986831665
28,1.8165967464447021,0.0008285994408652186,0.9579116106033325
29,1.7827668190002441,0.0007980252266861498,0.9587096571922302
30,1.7534023523330688,0.0007719527347944677,0.9594815969467163
31,1.7215056419372559,0.0007441224879585207,0.9602257013320923
32,1.695884346961975,0.0007221376872621477,0.9609478116035461
33,1.6345773935317993,0.0006708702421747148,0.9616186618804932
34,1.6291096210479736,0.0006663895328529179,0.962285041809082
35,1.5787526369094849,0.0006258290377445519,0.9629108905792236
36,1.5433088541030884,0.0005980441928841174,0.9635089635848999
37,1.5253511667251587,0.000584207649808377,0.9640931487083435
38,1.5205790996551514,0.0005805579130537808,0.9646736979484558
39,1.504106044769287,0.0005680472822859883,0.9652417302131653
40,1.4973324537277222,0.0005629424704238772,0.9658046960830688
41,1.4781068563461304,0.0005485790316015482,0.9663532972335815
42,1.46892511844635,0.0005417848587967455,0.9668951034545898
43,1.440611720085144,0.0005211004754528403,0.9674162268638611
44,1.4231314659118652,0.0005085311713628471,0.9679247736930847
45,1.3972554206848145,0.0004902065848000348,0.9684149622917175
46,1.3948568105697632,0.0004885250236839056,0.9689034819602966
47,1.3703256845474243,0.0004714928800240159,0.96937495470047
48,1.3372430801391602,0.0004490019928198308,0.969823956489563
49,1.3294378519058228,0.0004437758179847151,0.9702677130699158
50,1.312220811843872,0.00043235591147094965,0.9707000851631165
51,1.3000370264053345,0.0004243644361849874,0.9711244702339172
52,1.288223147392273,0.00041668678750284016,0.971541166305542
53,1.2817643880844116,0.0004125189734622836,0.9719536900520325
54,1.2739359140396118,0.0004074954194948077,0.9723612070083618
55,1.2343723773956299,0.00038257797132246196,0.972743809223175
56,1.2316172122955322,0.00038087202119641006,0.9731246829032898
57,1.2190074920654297,0.00037311293999664485,0.9734978079795837
58,1.216918706893921,0.00037183534004725516,0.9738696217536926
59,1.2056002616882324,0.000364950712537393,0.9742345809936523
60,1.1992429494857788,0.0003611119755078107,0.9745956659317017
61,1.1846115589141846,0.00035235422546975315,0.9749480485916138
62,1.1629550457000732,0.0003395888488739729,0.9752876162528992
63,1.143915057182312,0.00032856030156835914,0.9756161570549011
64,1.1382179260253906,0.0003252957540098578,0.9759414792060852
65,1.1282920837402344,0.00031964699155651033,0.9762611389160156
66,1.1142820119857788,0.0003117581072729081,0.9765728712081909
67,1.110724687576294,0.00030977075221017003,0.9768826365470886
68,1.0950666666030884,0.0003010985383298248,0.9771837592124939
69,1.0775232315063477,0.0002915283548645675,0.9774752855300903
70,1.0733178853988647,0.00028925726655870676,0.9777645468711853
71,1.0642127990722656,0.0002843705005943775,0.9780489206314087
72,1.0594885349273682,0.0002818513021338731,0.9783307909965515
73,1.0497218370437622,0.000276678882073611,0.9786074757575989
74,1.0419659614562988,0.00027260550996288657,0.9788801074028015
75,1.0332344770431519,0.0002680558536667377,0.9791481494903564
76,1.0226000547409058,0.00026256643468514085,0.979410707950592
77,1.0107803344726562,0.0002565317554399371,0.9796672463417053
78,1.0094588994979858,0.0002558614360168576,0.9799231290817261
79,1.005147933959961,0.0002536807442083955,0.9801768064498901
80,0.9889381527900696,0.00024556461721658707,0.9804223775863647
81,0.9850622415542603,0.00024364354612771422,0.9806660413742065
82,0.9788320064544678,0.00024057133123278618,0.98090660572052
83,0.9713514447212219,0.0002369083376834169,0.9811435341835022
84,0.964393675327301,0.0002335265453439206,0.9813770651817322
85,0.9587586522102356,0.0002308054972672835,0.9816078543663025
86,0.9534934163093567,0.00022827742213848978,0.9818361401557922
87,0.938348650932312,0.00022108333359938115,0.9820572137832642
88,0.9321849346160889,0.00021818841923959553,0.9822754263877869
89,0.9292224049568176,0.00021680380450561643,0.982492208480835
90,0.9232968091964722,0.00021404752624221146,0.9827062487602234
91,0.918319821357727,0.00021174612629693002,0.9829180240631104
92,0.9134854078292847,0.0002095225645462051,0.9831275343894958
93,0.9030316472053528,0.00020475451310630888,0.9833322763442993
94,0.8957405686378479,0.0002014614874497056,0.9835337400436401
95,0.8933640718460083,0.0002003939007408917,0.983734130859375
96,0.8856995701789856,0.00019697014067787677,0.9839311242103577
97,0.8770006895065308,0.00019312008225824684,0.9841242432594299
98,0.8715496063232422,0.00019072683062404394,0.9843149781227112
99,0.8673167824745178,0.00018887872283812612,0.9845038652420044
100,0.8581779599189758,0.00018491930677555501,0.9846887588500977
101,0.8549426198005676,0.00018352763436269015,0.9848722815513611
102,0.852639377117157,0.00018254011229146272,0.9850548505783081
103,0.8472425937652588,0.00018023664597421885,0.9852350950241089
104,0.8384742140769958,0.0001765252964105457,0.9854116439819336
105,0.8360589146614075,0.0001755097764544189,0.9855871796607971
106,0.828680694103241,0.0001724256871966645,0.9857596158981323
107,0.824387788772583,0.00017064384883269668,0.9859302639961243
108,0.8234174847602844,0.0001702423905953765,0.9861004948616028
109,0.8192862272262573,0.0001685383904259652,0.9862690567970276
110,0.810789167881012,0.00016506059910170734,0.9864341020584106
111,0.8066624999046326,0.00016338465502485633,0.98659747838974
112,0.8041221499443054,0.0001623572170501575,0.9867598414421082
113,0.8000093698501587,0.0001607006706763059,0.9869205355644226
114,0.794605016708374,0.0001585368299856782,0.9870790839195251
115,0.7910739779472351,0.00015713095490355045,0.9872362017631531
116,0.7894961833953857,0.00015650478599127382,0.9873927235603333
117,0.7824205160140991,0.00015371208428405225,0.987546443939209
118,0.7772300839424133,0.00015167944366112351,0.9876981377601624
119,0.7743286490440369,0.00015054912364576012,0.987848699092865
120,0.7710800170898438,0.00014928853488527238,0.9879980087280273
121,0.765178382396698,0.0001470120478188619,0.9881449937820435
122,0.760745644569397,0.00014531367924064398,0.9882903099060059
123,0.7582976818084717,0.00014437998470384628,0.9884346723556519
124,0.7544026374816895,0.00014290056424215436,0.9885775446891785
125,0.7504082918167114,0.00014139134145807475,0.9887189269065857
126,0.7490932941436768,0.0001408962270943448,0.9888598322868347
127,0.7419129610061646,0.00013820808089803904,0.9889980554580688
128,0.73700350522995,0.00013638501695822924,0.9891344308853149
129,0.732776403427124,0.00013482502254191786,0.9892692565917969
130,0.7282062768936157,0.0001331485400442034,0.9894024133682251
131,0.7272322773933411,0.00013279258564580232,0.9895352125167847
132,0.7238719463348389,0.00013156823115423322,0.989666759967804
133,0.7206635475158691,0.00013040452904533595,0.9897971749305725
134,0.7163805961608887,0.00012885913019999862,0.9899260401725769
135,0.71356600522995,0.00012784855789504945,0.9900538921356201
136,0.7101137638092041,0.0001266144827241078,0.990180492401123
137,0.7065863609313965,0.00012535972928162664,0.9903058409690857
138,0.7007870078086853,0.00012331038306001574,0.990429162979126
139,0.6977182626724243,0.00012223278463352472,0.9905514121055603
140,0.6946138143539429,0.00012114748096792027,0.9906725883483887
141,0.6909564137458801,0.00011987506877630949,0.990792453289032
142,0.6902515292167664,0.00011963060387643054,0.9909120798110962
143,0.6808686852455139,0.00011640034063020721,0.9910284876823425
144,0.6792958974838257,0.00011586320761125535,0.9911443591117859
145,0.6776634454727173,0.0001153069970314391,0.9912596940994263
146,0.6733694672584534,0.00011385035759303719,0.9913735389709473
147,0.669231653213501,0.00011245544737903401,0.9914860129356384
148,0.6658939123153687,0.00011133651423733681,0.9915973544120789
149,0.6614540219306946,0.00010985678090946749,0.9917072057723999
150,0.6597544550895691,0.00010929296695394441,0.991816520690918
151,0.6584991812705994,0.00010887747339438647,0.9919254183769226
152,0.6545465588569641,0.00010757432028185576,0.9920330047607422
153,0.6480709910392761,0.00010545634722802788,0.9921384453773499
154,0.646466076374054,0.00010493467561900616,0.9922434091567993
155,0.6448600888252258,0.00010441395716043189,0.9923478364944458
156,0.6429905295372009,0.000103809405118227,0.9924516677856445
157,0.6416552066802979,0.00010337868297938257,0.9925550222396851
158,0.6361656785011292,0.00010161738464375958,0.9926566481590271
159,0.6320958137512207,0.00010032134741777554,0.9927569627761841
160,0.6305144429206848,9.982001211028546e-05,0.9928568005561829
161,0.6284596920013428,9.917048009810969e-05,0.9929559826850891
162,0.6220418214797974,9.71553527051583e-05,0.993053138256073
163,0.6209143996238708,9.6803494670894e-05,0.9931499361991882
164,0.6188378930091858,9.615709859644994e-05,0.9932460784912109
165,0.6180400848388672,9.590932313585654e-05,0.9933419823646545
166,0.6125777363777161,9.422149014426395e-05,0.9934362173080444
167,0.611267626285553,9.381889685755596e-05,0.9935300350189209
168,0.6085300445556641,9.29804373299703e-05,0.9936230182647705
169,0.6055021286010742,9.205743845086545e-05,0.9937150478363037
170,0.604333221912384,9.170235716737807e-05,0.993806779384613
171,0.5998405814170837,9.034397953655571e-05,0.9938971400260925
172,0.5965612530708313,8.935886580729857e-05,0.9939864873886108
173,0.5931533575057983,8.834084292175248e-05,0.994074821472168
174,0.5927767157554626,8.822868403512985e-05,0.9941630363464355
175,0.5893999338150024,8.722635539015755e-05,0.9942502379417419
176,0.5859286189079285,8.620192966191098e-05,0.9943364262580872
177,0.5812380313873291,8.482729026582092e-05,0.9944212436676025
178,0.5799557566642761,8.445342973573133e-05,0.9945057034492493
179,0.5782448649406433,8.395587792620063e-05,0.9945896863937378
180,0.574860692024231,8.2976053818129e-05,0.9946726560592651
181,0.571865975856781,8.211378008127213e-05,0.9947547912597656
182,0.57057124376297,8.174238610081375e-05,0.9948365092277527
183,0.563663125038147,7.9774996265769e-05,0.9949162602424622
184,0.5616816282272339,7.921510405139998e-05,0.9949954748153687
185,0.5579825639724731,7.817516598151997e-05,0.995073676109314
186,0.5571893453598022,7.79530600993894e-05,0.9951516389846802
187,0.5550096035003662,7.73443462094292e-05,0.9952290058135986
188,0.5526896119117737,7.669908518437296e-05,0.9953057169914246
189,0.5522192716598511,7.656859088456258e-05,0.9953823089599609
190,0.5490372776985168,7.568873115815222e-05,0.9954580068588257
191,0.5482356548309326,7.546786946477368e-05,0.9955334663391113
192,0.5449088215827942,7.455473678419366e-05,0.9956080317497253
193,0.5424734950065613,7.38898161216639e-05,0.9956819415092468
194,0.5390171408653259,7.295123941730708e-05,0.9957548975944519
195,0.5384414792060852,7.27955048205331e-05,0.9958276748657227
196,0.5367584824562073,7.234114309540018e-05,0.99590003490448
197,0.5355081558227539,7.200451364042237e-05,0.9959720373153687
198,0.5327154994010925,7.125546835595742e-05,0.9960432648658752
199,0.5274538993835449,6.985485379118472e-05,0.996113121509552
200,0.5263850092887878,6.957201549084857e-05,0.9961826801300049
201,0.5237951278686523,6.888909410918131e-05,0.9962515830993652
202,0.523160994052887,6.872239464428276e-05,0.9963203072547913
203,0.5203121900558472,6.797599053243175e-05,0.9963882565498352
204,0.5183172821998596,6.74557377351448e-05,0.996455729007721
205,0.5159526467323303,6.684166146442294e-05,0.9965225458145142
206,0.5105170607566833,6.544071948155761e-05,0.9965879917144775
207,0.5093219876289368,6.513469998026267e-05,0.996653139591217
208,0.5078280568122864,6.47531560389325e-05,0.9967178702354431
209,0.5072686672210693,6.461057637352496e-05,0.9967824816703796
210,0.5059699416160583,6.428016786230728e-05,0.9968467354774475
211,0.5038207173347473,6.373523501679301e-05,0.9969104528427124
212,0.5006873607635498,6.294493505265564e-05,0.9969733953475952
213,0.4996640384197235,6.2687904573977e-05,0.9970360994338989
214,0.49910852313041687,6.254859181353822e-05,0.9970986247062683
215,0.4955604374408722,6.166245293570682e-05,0.9971603155136108
216,0.49365538358688354,6.118927558418363e-05,0.9972215294837952
217,0.49131593108177185,6.061069143470377e-05,0.9972821474075317
218,0.48923152685165405,6.009750359226018e-05,0.9973422288894653
219,0.4888589084148407,6.00059938733466e-05,0.9974022507667542
220,0.48768556118011475,5.9718287957366556e-05,0.9974619746208191
221,0.48530206084251404,5.9135982155567035e-05,0.9975211024284363
222,0.48402079939842224,5.882414188818075e-05,0.9975799322128296
223,0.4811168313026428,5.812040762975812e-05,0.9976380467414856
224,0.47986969351768494,5.781948129879311e-05,0.9976958632469177
225,0.478545218706131,5.750075069954619e-05,0.997753381729126
226,0.4747471809387207,5.6591648899484426e-05,0.9978099465370178
227,0.47392648458480835,5.639615483232774e-05,0.9978663325309753
228,0.47056037187576294,5.5597884056624025e-05,0.9979219436645508
229,0.4673110544681549,5.483270069817081e-05,0.9979767799377441
230,0.4660285711288452,5.4532152717001736e-05,0.9980313181877136
231,0.4636140465736389,5.396854612627067e-05,0.9980852603912354
232,0.46033334732055664,5.3207448218017817e-05,0.9981384873390198
233,0.4582898020744324,5.273608985589817e-05,0.998191237449646
234,0.45544925332069397,5.208438597037457e-05,0.9982433319091797
235,0.4545583128929138,5.188081195228733e-05,0.9982951879501343
236,0.4525962173938751,5.143389353179373e-05,0.9983466267585754
237,0.4492921233177185,5.068566679256037e-05,0.9983972907066345
238,0.4478438198566437,5.0359420129098e-05,0.9984476566314697
239,0.4453580379486084,4.980192534276284e-05,0.998497486114502
240,0.44367673993110657,4.9426613259129226e-05,0.9985468983650208
241,0.4431826174259186,4.9316586228087544e-05,0.99859619140625
242,0.4411277174949646,4.886031456408091e-05,0.9986450672149658
243,0.43939369916915894,4.847694071941078e-05,0.9986935257911682
244,0.4384074807167053,4.825957148568705e-05,0.9987418055534363
245,0.4361459016799927,4.776295099873096e-05,0.9987895488739014
246,0.4338182210922241,4.72544961667154e-05,0.9988368153572083
247,0.4323609173297882,4.6937548177083954e-05,0.9988837242126465
248,0.4308807849884033,4.6616729378001764e-05,0.9989303350448608
249,0.42854663729667664,4.611303666024469e-05,0.998976469039917
250,0.4239175617694855,4.512221130426042e-05,0.999021589756012
251,0.42260274291038513,4.484274541027844e-05,0.9990664124488831
252,0.4199706017971039,4.428588363225572e-05,0.9991106986999512
253,0.4185403287410736,4.398475357447751e-05,0.9991546869277954
254,0.41461044549942017,4.316264312365092e-05,0.9991978406906128
255,0.41371822357177734,4.297707346267998e-05,0.9992408156394958
256,0.41262468695640564,4.275018363841809e-05,0.9992835521697998
257,0.40976443886756897,4.215956141706556e-05,0.999325692653656
258,0.406931072473526,4.157853982178494e-05,0.9993672966957092
259,0.405630499124527,4.131319292355329e-05,0.9994086027145386
260,0.4034167528152466,4.0863484173314646e-05,0.9994494915008545
261,0.4017132818698883,4.0519113099435344e-05,0.9994900226593018
262,0.39871108531951904,3.9915739762363955e-05,0.9995299577713013
263,0.39620840549468994,3.9416212530341e-05,0.9995693564414978
264,0.3947681784629822,3.913018008461222e-05,0.9996084570884705
265,0.39231520891189575,3.8645401218673214e-05,0.9996470808982849
266,0.38996392488479614,3.818355980911292e-05,0.9996852874755859
267,0.3855295777320862,3.732011100510135e-05,0.9997225999832153
268,0.3845018148422241,3.7121400964679196e-05,0.9997597336769104
269,0.37987014651298523,3.6232464481145144e-05,0.9997959733009338
270,0.37851881980895996,3.5975139326183125e-05,0.9998319745063782
271,0.37554502487182617,3.541209298418835e-05,0.9998673796653748
272,0.37051528692245483,3.446988557698205e-05,0.9999018311500549
273,0.36499425768852234,3.345026925671846e-05,0.9999352693557739
