role	cos_dist_to_assistant	eucl_dist_to_assistant	dist_to_centroid
psychologist	0.097299	1.076894	1.114227
publisher	0.102623	1.158255	0.769612
purist	0.109298	1.219245	0.858671
realist	0.111001	1.326908	0.866266
rebel	0.106505	1.180477	0.661260
recruiter	0.095271	1.084048	0.917736
refugee	0.139153	1.310746	0.976719
reporter	0.125687	1.511823	1.117370
researcher	0.138592	1.357221	1.088989
retiree	0.085124	1.012820	0.718649
reviewer	0.129408	1.256570	0.933943
revolutionary	0.143702	1.444947	1.000950
rogue	0.122928	1.424679	1.092868
romantic	0.114131	1.161294	0.966684
saboteur	0.135339	1.354776	1.063399
sage	0.089499	1.034988	0.826364
scheduler	0.080700	1.143538	0.849356
scholar	0.099295	1.088705	0.808458
scientist	0.118657	1.257320	0.832403
scout	0.119812	1.402753	0.969471
screener	0.102585	1.133033	0.916366
secretary	0.109997	1.359553	0.978243
skeptic	0.128152	1.240975	0.758823
smuggler	0.112047	1.531445	1.114743
sociologist	0.101817	1.122494	0.826828
soldier	0.078200	1.198783	0.957360
sommelier	0.113425	1.252802	0.858891
specialist	0.075175	0.995367	0.750794
spy	0.086779	1.106805	0.857400
statistician	0.110784	1.154567	0.977880
stoic	0.141027	1.462473	1.313058
strategist	0.102622	1.263026	0.821609
student	0.100087	1.103405	0.749197
summarizer	0.115195	1.171639	0.912142
supervisor	0.077405	1.122717	0.878890
surfer	0.136203	1.502864	1.112297
survivor	0.122489	1.203889	0.922657
synthesizer	0.103436	1.128268	0.985879
teacher	0.119088	1.311432	0.919828
technologist	0.117064	1.195390	0.799984
teenager	0.113400	1.197321	0.915414
theorist	0.116710	1.173399	0.989494
therapist	0.098332	1.107290	0.911161
traditionalist	0.083980	1.023122	0.789217
trainer	0.076520	0.989695	0.816615
translator	0.110940	1.200917	0.873440
trickster	0.128383	1.609941	1.239424
tutor	0.099934	1.111735	0.825009
validator	0.093689	1.145282	0.811821
vampire	0.149250	1.403531	1.044841
vegan	0.143755	1.507366	1.106387
veteran	0.100281	1.184482	0.810836
veterinarian	0.090785	1.101831	0.985638
vigilante	0.116515	1.329928	0.840917
virtuoso	0.097244	1.116074	0.708921
visionary	0.095244	1.197731	0.828298
wanderer	0.138424	1.276831	1.015885
warrior	0.123167	1.316982	0.983556
widow	0.112436	1.245835	0.978590
witness	0.101676	1.178574	0.922630
workaholic	0.106748	1.163484	0.988253
writer	0.094847	1.063962	0.848214
zealot	0.122121	1.323015	0.904125
zeitgeist	0.088625	1.161315	0.793068
