role	cos_dist_to_assistant	eucl_dist_to_assistant	dist_to_centroid
parasite	0.148484	1.552352	1.259938
parent	0.091742	1.172009	0.822245
patient	0.085967	1.089190	0.829544
peacekeeper	0.075108	0.975396	0.771399
perfectionist	0.120191	1.206590	0.786072
pharmacist	0.104441	1.253128	0.944021
philosopher	0.116588	1.198438	1.052397
photographer	0.134136	1.479881	1.081391
physicist	0.086934	1.022023	1.080465
pilgrim	0.120323	1.227439	1.000435
pilot	0.138051	1.318143	1.116940
pirate	0.136422	1.666986	1.299044
planner	0.104887	1.138623	0.862751
playwright	0.115638	1.295961	0.934969
podcaster	0.081350	1.021023	0.826934
poet	0.138201	1.301502	0.988767
polymath	0.118949	1.229547	0.862969
pragmatist	0.137402	1.426029	1.024923
predator	0.140374	1.536463	1.311114
presenter	0.084104	1.036586	0.801318
prey	0.148307	1.745889	1.457203
prisoner	0.117524	1.354397	0.975344
procrastinator	0.100354	1.349851	0.961273
prodigy	0.115232	1.576442	1.243834
producer	0.115697	1.269128	0.865733
programmer	0.139545	1.410446	1.103636
proofreader	0.100933	1.106346	0.971229
prophet	0.161860	1.792276	1.442910
provincial	0.117888	1.293841	0.848667
provocateur	0.122690	1.486814	0.961785
psychologist	0.097299	1.076894	1.140013
publisher	0.102623	1.158255	0.788708
purist	0.109298	1.219245	0.867643
realist	0.111001	1.326908	0.935311
rebel	0.106505	1.180477	0.709346
recruiter	0.095271	1.084048	1.022017
refugee	0.139153	1.310746	1.045948
reporter	0.125687	1.511823	1.149200
researcher	0.138592	1.357221	1.131819
retiree	0.085124	1.012820	0.768840
revenant	0.205627	1.808977	1.496096
reviewer	0.129408	1.256570	0.924784
revolutionary	0.143702	1.444947	1.046819
robot	0.132376	1.577887	1.351605
rogue	0.122928	1.424679	1.106986
romantic	0.114131	1.161294	0.923090
saboteur	0.135339	1.354776	1.071609
sage	0.089499	1.034988	0.849856
scheduler	0.080700	1.143538	0.901773
scholar	0.099295	1.088705	0.837646
scientist	0.118657	1.257320	0.902882
scout	0.119812	1.402753	0.922425
screener	0.102585	1.133033	0.962021
secretary	0.109997	1.359553	1.064546
shaman	0.168770	1.812704	1.415223
shapeshifter	0.173258	1.640662	1.315303
