magnitude_metric,stability_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
norm,score_at_alpha_1_0,-0.3301855800537217,2.0391123813615777e-08,-0.3143050196503911,1.015394879109875e-07,275
norm,score_at_alpha_1_5,-0.2644163322203793,8.820845482777413e-06,-0.2381919847067364,6.61999405093857e-05,275
norm,score_at_alpha_2_0,-0.09793699493337273,0.10510307969880577,-0.04833415774705883,0.42466909727645075,275
norm,score_at_alpha_2_5,0.09885029848304663,0.10188382938401476,0.1893794997459136,0.0016061061299325933,275
norm,delta_high_minus_low,0.48514350208493645,1.2138298063735745e-17,0.4901947433715127,4.972739282812687e-18,275
norm,score_slope,0.49281623344090636,3.1111447064298414e-18,0.49594652432799974,1.7677179753872165e-18,275
norm,late_alpha_drop,-0.032911904749328785,0.5868245398030306,-0.1490735120057645,0.013335290889132287,275
norm,subdim_consistency,0.5317658004124997,1.781551981721975e-21,0.5554519488762586,1.1605764074254131e-23,275
norm,sub25_cmp_emotional_register,-0.056485589501948166,0.3507238813483386,-0.02350576413876188,0.6979589794031003,275
norm,sub25_cmp_vocab_choice,-0.05637858528916198,0.35163867431600937,0.0030016548916422066,0.9604808375439227,275
norm,sub25_cmp_social_dynamic,-0.06402604415849936,0.29005477711053135,-0.02263096958512181,0.7086791783738439,275
norm,sub25_cmp_motivation,-0.1315702478139506,0.029153928985782843,-0.10526125980615578,0.0814291672652062,275
norm,sub25_cmp_worldview_alignment,-0.12038196569408408,0.046100194247183694,-0.09839483695857107,0.10347936382076633,275
norm_centered,score_at_alpha_1_0,-0.3706358736340145,2.2135567010294839e-10,-0.36793247046108113,3.0561260846527265e-10,275
norm_centered,score_at_alpha_1_5,-0.34007364398452533,7.157219920535074e-09,-0.3332769779513073,1.4757291395976138e-08,275
norm_centered,score_at_alpha_2_0,-0.23875841564194386,6.352560384445918e-05,-0.22280520221649955,0.00019538753706783152,275
norm_centered,score_at_alpha_2_5,-0.02706897854875456,0.6549288844615468,0.005791526120796014,0.9238343507306026,275
norm_centered,delta_high_minus_low,0.4311056754524102,7.132050362351053e-14,0.3979579354317533,7.1549755031742875e-12,275
norm_centered,score_slope,0.4294028911112688,9.150940823426954e-14,0.39698167926224104,8.133318427801251e-12,275
norm_centered,late_alpha_drop,-0.11157409188750934,0.06466139101311535,-0.15448516141732355,0.010299828420270166,275
norm_centered,subdim_consistency,0.3997916984358253,5.617790076966123e-12,0.37079714953405846,2.1711647160993572e-10,275
norm_centered,sub25_cmp_emotional_register,-0.13137293835955152,0.02939867930612928,-0.12390229209647514,0.04004870368945217,275
norm_centered,sub25_cmp_vocab_choice,-0.06174840022511349,0.3075904302628694,-0.050358502150276076,0.4055075462855152,275
norm_centered,sub25_cmp_social_dynamic,-0.11623604674410916,0.05419087613519623,-0.12130697087913084,0.044440301658921336,275
norm_centered,sub25_cmp_motivation,-0.1981252785000701,0.0009552786488885383,-0.1871881572615542,0.0018231287722466712,275
norm_centered,sub25_cmp_worldview_alignment,-0.19600443979870005,0.0010857474640031354,-0.1841826965868739,0.0021644303567445607,275
