role,alpha,steered_score_mean,norm,norm_centered
aberration,1.0,29.06578947368421,3.788794994354248,1.3890912532806396
aberration,1.5,33.32017543859649,3.788794994354248,1.3890912532806396
aberration,2.0,43.28508771929825,3.788794994354248,1.3890912532806396
aberration,2.5,66.58771929824562,3.788794994354248,1.3890912532806396
absurdist,1.0,29.54385964912281,3.459686279296875,1.8497416973114014
absurdist,1.5,32.771929824561404,3.459686279296875,1.8497416973114014
absurdist,2.0,38.728070175438596,3.459686279296875,1.8497416973114014
absurdist,2.5,50.8640350877193,3.459686279296875,1.8497416973114014
accountant,1.0,59.74561403508772,3.4523098468780518,1.4205889701843262
accountant,1.5,59.79824561403509,3.4523098468780518,1.4205889701843262
accountant,2.0,61.8421052631579,3.4523098468780518,1.4205889701843262
accountant,2.5,61.66228070175438,3.4523098468780518,1.4205889701843262
activist,1.0,53.109170305676855,3.500443458557129,1.2426961660385132
activist,1.5,55.724890829694324,3.500443458557129,1.2426961660385132
activist,2.0,59.73362445414847,3.500443458557129,1.2426961660385132
activist,2.5,62.53947368421053,3.500443458557129,1.2426961660385132
actor,1.0,45.574561403508774,3.4977238178253174,1.3165977001190186
actor,1.5,52.87719298245614,3.4977238178253174,1.3165977001190186
actor,2.0,64.57894736842105,3.4977238178253174,1.3165977001190186
actor,2.5,74.66666666666667,3.4977238178253174,1.3165977001190186
addict,1.0,38.31877729257642,4.5024733543396,1.6993510723114014
addict,1.5,47.7117903930131,4.5024733543396,1.6993510723114014
addict,2.0,63.786026200873366,4.5024733543396,1.6993510723114014
addict,2.5,75.49122807017544,4.5024733543396,1.6993510723114014
adolescent,1.0,38.62882096069869,3.775885581970215,1.419748067855835
adolescent,1.5,51.0174672489083,3.775885581970215,1.419748067855835
adolescent,2.0,65.96069868995633,3.775885581970215,1.419748067855835
adolescent,2.5,79.70614035087719,3.775885581970215,1.419748067855835
advocate,1.0,74.01315789473684,4.236433029174805,1.5560568571090698
advocate,1.5,77.01315789473684,4.236433029174805,1.5560568571090698
advocate,2.0,80.48684210526316,4.236433029174805,1.5560568571090698
advocate,2.5,78.73245614035088,4.236433029174805,1.5560568571090698
alien,1.0,37.50877192982456,4.189554691314697,2.0160815715789795
alien,1.5,42.530701754385966,4.189554691314697,2.0160815715789795
alien,2.0,53.73245614035088,4.189554691314697,2.0160815715789795
alien,2.5,76.19298245614036,4.189554691314697,2.0160815715789795
altruist,1.0,71.27510917030568,3.593801975250244,1.1764825582504272
altruist,1.5,73.02620087336244,3.593801975250244,1.1764825582504272
altruist,2.0,75.24454148471615,3.593801975250244,1.1764825582504272
altruist,2.5,74.3859649122807,3.593801975250244,1.1764825582504272
amateur,1.0,65.50877192982456,3.1571643352508545,1.3560987710952759
amateur,1.5,76.64473684210526,3.1571643352508545,1.3560987710952759
amateur,2.0,84.7719298245614,3.1571643352508545,1.3560987710952759
