alpha,subdim,steered_std,aa_std,steered_mean,aa_mean,advantage_mean,n_roles
1.0,emotional_register,18.68882772258974,18.573434025724804,42.814251269300684,40.417797510847386,2.3964537584532986,275
1.0,vocab_choice,17.520417199909065,17.871385051386163,50.1696413920868,50.04281488755632,0.1268265045304803,275
1.0,social_dynamic,17.03285242443503,16.898912420493307,44.34735922776373,43.01851876614919,1.3288404616145366,275
1.0,motivation,18.559320580099982,18.633559878723336,49.31290264167763,47.78576084912559,1.527141792552043,275
1.0,worldview_alignment,19.978858486744965,19.970348745888625,43.92576474930876,42.43727356302626,1.4884911862824985,275
1.5,emotional_register,17.75470285585467,18.110132918093065,47.46396328256131,42.48367801202092,4.980285270540384,275
1.5,vocab_choice,15.946503501401798,16.650032381201438,52.016908547669296,50.936153722933774,1.0807548247355188,275
1.5,social_dynamic,16.023511008891163,16.38207513137905,47.89802051774931,45.22450687059053,2.6735136471587864,275
1.5,motivation,17.540297959592024,18.199390766132332,54.19137363058301,51.40250127104183,2.7888723595411715,275
1.5,worldview_alignment,18.99241573892738,19.58729106852626,48.53443583153995,45.58893469282575,2.9455011387141927,275
2.0,emotional_register,15.03359105136478,12.628941803768306,52.60292123719382,30.704286162010824,21.898635075182995,275
2.0,vocab_choice,13.07402200639032,10.6007607435592,53.749473823502775,36.58857462234388,17.16089920115891,275
2.0,social_dynamic,13.505652822967848,11.095515744416328,51.80050214858305,33.760742706309244,18.039759442273805,275
2.0,motivation,14.829813989070539,14.31367272695818,59.265203331870765,44.78479604131409,14.48040729055668,275
2.0,worldview_alignment,16.27046264103154,15.179077846083581,53.50874908589457,38.351486109079765,15.157262976814804,275
2.5,emotional_register,12.443208513650207,5.3069513704801015,56.146999366220236,13.613574378582422,42.533424987637815,275
2.5,vocab_choice,11.274527091496362,4.2765842095751525,54.32423371847642,15.25532535188706,39.06890836658936,275
2.5,social_dynamic,11.57353146247419,4.779233361081157,54.18224929135065,15.282878613763467,38.89937067758718,275
2.5,motivation,12.226785170528023,7.540090430716725,62.066325679223866,24.325401823335632,37.74092385588823,275
2.5,worldview_alignment,13.20673470599284,7.485283753966481,56.653765557203855,18.695158619056574,37.95860693814728,275
