persona,hits,poses,lexfiles,num_synsets,status,suggested_proxy
grader,grader,n,noun.person,1,exact_noun.person,
graduate,graduate,a; n; v,adj.all; noun.artifact; noun.person; verb.change; verb.possession,6,exact_noun.person,
grandparent,grandparent,n,noun.person,1,exact_noun.person,
guardian,guardian,n,noun.person,1,exact_noun.person,
guide,guide,n; v,noun.artifact; noun.cognition; noun.communication; noun.person; verb.contact; verb.motion; verb.perception; verb.social,11,exact_noun.person,
guru,guru,n,noun.person,3,exact_noun.person,
hacker,hacker,n,noun.person,3,exact_noun.person,
healer,healer,n,noun.person,1,exact_noun.person,
hedonist,hedonist,n,noun.person,1,exact_noun.person,
hermit,hermit,n,noun.person,2,exact_noun.person,
historian,historian,n,noun.person,1,exact_noun.person,
hive,hive,n; v,noun.artifact; noun.group; noun.object; verb.contact; verb.motion; verb.possession,6,exact_noun_other,
hoarder,hoarder,n,noun.person,1,exact_noun.person,
homunculus,homunculus,n,noun.person,2,exact_noun.person,
hybrid,hybrid,a; n,adj.all; noun.animal; noun.artifact; noun.cognition; noun.communication,5,exact_noun_other,
idealist,idealist,n,noun.person,1,exact_noun.person,
immigrant,immigrant,n,noun.person,1,exact_noun.person,
improviser,,,,0,absent_exact,improvise / improvisation
infant,infant,n,noun.person,1,exact_noun.person,
influencer,influencer,n,noun.person,1,exact_noun.person,
instructor,instructor,n,noun.person,1,exact_noun.person,
interpreter,interpreter,n,noun.communication; noun.person,4,exact_noun.person,
interviewer,interviewer,n,noun.person,1,exact_noun.person,
jester,jester,n,noun.person,1,exact_noun.person,
journalist,journalist,n,noun.person,2,exact_noun.person,
judge,judge,n; v,noun.person; verb.cognition; verb.communication; verb.social,7,exact_noun.person,
king,king,n,noun.artifact; noun.person; noun.state,11,exact_noun.person,
lawyer,lawyer,n,noun.person,1,exact_noun.person,
leviathan,leviathan,n,noun.person,2,exact_noun.person,
librarian,librarian,n,noun.person,1,exact_noun.person,
linguist,linguist,n,noun.person,2,exact_noun.person,
loner,loner,n,noun.person,1,exact_noun.person,
luddite,luddite,n,noun.person,2,exact_noun.person,
man,man,n; v,noun.animal; noun.artifact; noun.location; noun.person; verb.competition; verb.social,13,exact_noun.person,
marketer,marketer,n,noun.person,1,exact_noun.person,
martyr,martyr,n; v,noun.person; verb.body; verb.contact,4,exact_noun.person,
mathematician,mathematician,n,noun.person,1,exact_noun.person,
maverick,maverick,a; n,adj.all; noun.animal; noun.person,3,exact_noun.person,
mechanic,mechanic,a; n,adj.all; noun.person,3,exact_noun.person,
mediator,mediator,n,noun.person,1,exact_noun.person,
mentor,mentor,n; v,noun.person; verb.communication,2,exact_noun.person,
merchant,merchant,n,noun.person,1,exact_noun.person,
minimalist,minimalist,a; n,adj.all; adj.pert; noun.person,4,exact_noun.person,
moderator,moderator,n,noun.person; noun.substance,4,exact_noun.person,
musician,musician,n,noun.person,2,exact_noun.person,
mycorrhizal,,,,0,absent_exact,
mystic,mystic,a; n,adj.all; adj.pert; noun.person,4,exact_noun.person,
narcissist,narcissist,n,noun.person,1,exact_noun.person,
narrator,narrator,n,noun.person,1,exact_noun.person,
naturalist,naturalist,n,noun.person,2,exact_noun.person,
navigator,navigator,n,noun.person,3,exact_noun.person,
negotiator,negotiator,n,noun.person,1,exact_noun.person,
networker,,,,0,absent_exact,network / social_networking_service
newlywed,newlywed,n,noun.person,1,exact_noun.person,
nomad,nomad,n,noun.person,1,exact_noun.person,
novelist,novelist,n,noun.person,1,exact_noun.person,
nutritionist,nutritionist,n,noun.person,1,exact_noun.person,
observer,observer,n,noun.person,2,exact_noun.person,
optimist,optimist,n,noun.person,1,exact_noun.person,
oracle,oracle,n,noun.artifact; noun.communication; noun.person,3,exact_noun.person,
organizer,organizer,n,noun.artifact; noun.person,3,exact_noun.person,
orphan,orphan,n; v,noun.animal; noun.communication; noun.person; verb.possession,5,exact_noun.person,
pacifist,pacifist,a; n,adj.all; noun.person,2,exact_noun.person,
paramedic,paramedic,n,noun.person,1,exact_noun.person,
parasite,parasite,n,noun.animal; noun.person,2,exact_noun.person,
parent,parent,n; v,noun.Tops; noun.person; verb.social,3,exact_noun.person,
patient,patient,a; n,adj.all; noun.communication; noun.person,3,exact_noun.person,
peacekeeper,peacekeeper,n,noun.artifact; noun.person,3,exact_noun.person,
perfectionist,perfectionist,n,noun.person,1,exact_noun.person,
pharmacist,pharmacist,n,noun.person,1,exact_noun.person,
philosopher,philosopher,n,noun.person,2,exact_noun.person,
photographer,photographer,n,noun.person,1,exact_noun.person,
physicist,physicist,n,noun.person,1,exact_noun.person,
pilgrim,pilgrim,n,noun.person,3,exact_noun.person,
pilot,pilot,n; v,noun.artifact; noun.cognition; noun.communication; noun.person; verb.motion,8,exact_noun.person,
pirate,pirate,n; v,noun.artifact; noun.person; verb.contact; verb.possession,5,exact_noun.person,
planner,planner,n,noun.artifact; noun.person,2,exact_noun.person,
playwright,playwright,n,noun.person,1,exact_noun.person,
podcaster,,,,0,absent_exact,podcast / broadcaster
poet,poet,n,noun.person,1,exact_noun.person,
polymath,polymath,n,noun.person,1,exact_noun.person,
pragmatist,pragmatist,n,noun.person,2,exact_noun.person,
predator,predator,n,noun.animal; noun.person,2,exact_noun.person,
presenter,presenter,n,noun.person,3,exact_noun.person,
prey,prey,n; v,noun.animal; noun.person; verb.consumption,4,exact_noun.person,
prisoner,prisoner,n,noun.person,1,exact_noun.person,
procrastinator,procrastinator,n,noun.person,1,exact_noun.person,
prodigy,prodigy,n,noun.cognition; noun.event; noun.person,3,exact_noun.person,
producer,producer,n,noun.event; noun.person,3,exact_noun.person,
programmer,programmer,n,noun.person,1,exact_noun.person,
proofreader,proofreader,n,noun.person,1,exact_noun.person,
prophet,prophet,n,noun.person,2,exact_noun.person,
provincial,provincial,a; n,adj.all; adj.pert; noun.person,4,exact_noun.person,
provocateur,provocateur,n,noun.person,1,exact_noun.person,
psychologist,psychologist,n,noun.person,1,exact_noun.person,
publisher,publisher,n,noun.group; noun.person,3,exact_noun.person,
purist,purist,n,noun.person,1,exact_noun.person,
queen,queen,n; v,noun.animal; noun.artifact; noun.person; verb.motion; verb.social,12,exact_noun.person,
realist,realist,n,noun.person,3,exact_noun.person,
rebel,rebel,n; v,noun.person; verb.social,5,exact_noun.person,
recruiter,recruiter,n,noun.person,2,exact_noun.person,
refugee,refugee,n,noun.person,1,exact_noun.person,
reporter,reporter,n,noun.person,1,exact_noun.person,
researcher,researcher,n,noun.person,1,exact_noun.person,
retiree,retiree,n,noun.person,1,exact_noun.person,
revenant,revenant,a; n,adj.all; adj.pert; noun.person,4,exact_noun.person,
reviewer,reviewer,n,noun.person,2,exact_noun.person,
revolutionary,revolutionary,a; n,adj.all; adj.pert; noun.person,5,exact_noun.person,
robot,robot,n,noun.artifact,1,exact_noun_other,
rogue,rogue,n,noun.person,1,exact_noun.person,
romantic,romantic,a; n,adj.all; adj.pert; noun.person,5,exact_noun.person,
saboteur,saboteur,n,noun.person,2,exact_noun.person,
sage,sage,a; n,adj.all; noun.food; noun.person; noun.plant,5,exact_noun.person,
scheduler,scheduler,n,noun.artifact,1,exact_noun_other,
scholar,scholar,n,noun.person,3,exact_noun.person,
scientist,scientist,n,noun.person,1,exact_noun.person,
scout,scout,n; v,noun.person; verb.perception,5,exact_noun.person,
screener,screener,n,noun.person,1,exact_noun.person,
secretary,secretary,n,noun.artifact; noun.person,4,exact_noun.person,
shaman,shaman,n,noun.person,1,exact_noun.person,
shapeshifter,,,,0,absent_exact,shape-shifter? / shapeshifting concept absent
simulacrum,simulacrum,n,noun.artifact; noun.attribute,2,exact_noun_other,
skeptic,skeptic,n,noun.person,1,exact_noun.person,
smuggler,smuggler,n,noun.person,1,exact_noun.person,
sociologist,sociologist,n,noun.person,1,exact_noun.person,
soldier,soldier,n; v,noun.animal; noun.person; verb.competition,3,exact_noun.person,
sommelier,sommelier,n,noun.person,1,exact_noun.person,
specialist,specialist,n,noun.person,2,exact_noun.person,
spirit,spirit,n; v,noun.attribute; noun.communication; noun.person; noun.state; verb.change,9,exact_noun.person,
spy,spy,n; v,noun.person; verb.communication; verb.perception,6,exact_noun.person,
statistician,statistician,n,noun.person,2,exact_noun.person,
stoic,stoic,a; n,adj.all; adj.pert; noun.person,4,exact_noun.person,
strategist,strategist,n,noun.person,1,exact_noun.person,
student,student,n,noun.person,2,exact_noun.person,
summarizer,,,,0,absent_exact,summarize / summarization
supervisor,supervisor,n,noun.communication; noun.person,2,exact_noun.person,
surfer,surfer,n,noun.person,1,exact_noun.person,
survivor,survivor,n,noun.animal; noun.person,3,exact_noun.person,
swarm,swarm,n; v,noun.group; verb.motion; verb.stative,4,exact_noun_other,
symbiont,,,,0,absent_exact,biont / symbiosis / symbiotic
synthesizer,synthesizer,n,noun.artifact; noun.person,2,exact_noun.person,
teacher,teacher,n,noun.cognition; noun.person,2,exact_noun.person,
technologist,technologist,n,noun.person,1,exact_noun.person,
teenager,teenager,n,noun.person,1,exact_noun.person,
theorist,theorist,n,noun.person,1,exact_noun.person,
therapist,therapist,n,noun.person,1,exact_noun.person,
toddler,toddler,n,noun.person,1,exact_noun.person,
traditionalist,traditionalist,a; n,adj.all; noun.person,2,exact_noun.person,
trainer,trainer,n,noun.artifact; noun.person,2,exact_noun.person,
translator,translator,n,noun.communication; noun.person,3,exact_noun.person,
tree,tree,n; v,noun.person; noun.plant; noun.shape; verb.change; verb.competition; verb.contact; verb.motion,7,exact_noun.person,
trickster,trickster,n,noun.person,3,exact_noun.person,
tulpa,,,,0,absent_exact,
tutor,tutor,n; v,noun.person; verb.communication; verb.social,3,exact_noun.person,
validator,,,,0,absent_exact,validate / validation / evaluator
