seed,split_half_corr,split_half_l2,full_corr_spearmanbrown,full_l2_spearmanbrown
0,0.9222152557275819,0.9809919992968614,0.9595338014092623,0.9904048069301212
1,0.9333859248683547,0.9822148845359384,0.9655453811498182,0.9910276551736088
2,0.935351802215852,0.9815903700054339,0.9665961518158456,0.990709669226685
3,0.9424419119951043,0.981950117386702,0.9703681805620755,0.9908928673557649
4,0.9386659428283649,0.9810652474565392,0.9683627509945558,0.9904421358318355
5,0.9281185936406355,0.9803869992226776,0.9627194060591265,0.9900963797555625
6,0.947988155415147,0.9812784131439496,0.9732997120951341,0.9905507541333666
7,0.9346891416048108,0.980366614080985,0.9662421951978217,0.9900859841913028
8,0.9435619284825741,0.9806856313806726,0.97096152651977,0.9902486450583963
9,0.9487215629075985,0.9823528430372926,0.973686113979315,0.9910978729015422
10,0.9400874689316882,0.9823300106865637,0.9691186443767389,0.9910862524311396
11,0.9444567686348615,0.9809496070604012,0.9714350906324682,0.9903832016363766
12,0.9391069543019014,0.9815593641709291,0.9685973764556888,0.9906938766698082
13,0.9422951726948596,0.9822649143671264,0.9702903924612668,0.9910531203451504
14,0.9384304913382392,0.9804543316652542,0.9682374431598757,0.9901307149464481
15,0.9362287580707268,0.9822632629858807,0.9670642006201708,0.9910522798130242
16,0.933251114028074,0.9789223793001091,0.9654732458253447,0.9893489401502724
17,0.9490766197301364,0.9825340322717481,0.9738730741755476,0.991190079240033
18,0.9478170497004432,0.9842153708500909,0.9732095217527836,0.9920449012835
19,0.9366553159526122,0.9815319356886881,0.9672917098228038,0.9906799057947591
20,0.9363748318127983,0.9802405329741721,0.967142121896081,0.9900216833779527
21,0.9379279415215485,0.9800517771269701,0.9679698831166467,0.989925403414463
22,0.9338576484727417,0.9830324889239072,0.9657977144390674,0.9914436545185902
23,0.9237514208142792,0.9784118559218998,0.9603646404827882,0.9890881446077664
24,0.9465127837458736,0.9810154553178225,0.9725215181216558,0.9904167609438809
25,0.9334832111517274,0.9829722491820916,0.965597431379479,0.9914130160798106
26,0.9368301706401504,0.9820451543459744,0.9673849414794219,0.9909412529706214
27,0.944804654883131,0.9829062216134871,0.9716190801074641,0.9913794317652583
28,0.9452549929446535,0.9815035422168281,0.9718571563862302,0.9906654429885708
29,0.9407788536667075,0.9819313718293603,0.9694858864412058,0.990883322991168
30,0.9408630706834353,0.9815636884216176,0.9695306020245206,0.9906960792196049
31,0.9368380899506739,0.9814216636244041,0.9673891636182482,0.9906237341012956
32,0.9360550269319938,0.9800442554066461,0.9669715105312178,0.9899215663797093
33,0.9369885916316101,0.9818156420944826,0.9674693962367055,0.9908243948027884
34,0.9398471236549494,0.9809936909348894,0.9689909191237123,0.9904056690578651
35,0.9429632529293719,0.9812061115486898,0.9706444540396557,0.9905139155680177
36,0.9395785260808758,0.983139481032521,0.9688481424666975,0.9914980670150844
37,0.940293572314791,0.9814443896480212,0.9692281474632838,0.9906353110645336
38,0.936782659373156,0.9810903276846661,0.9673596103719224,0.9904549166430822
39,0.9427496742164573,0.9804797850720802,0.9705312904985389,0.9901436939295953
40,0.9215545623496495,0.9819745955564916,0.959176055061154,0.9909053302277836
41,0.9319920196469927,0.9799789931221728,0.9647990366101857,0.9898882730840206
42,0.9263211522238893,0.9804989988515393,0.9617515243026584,0.9901534910344468
43,0.941909927884563,0.9837760410306097,0.9700861140461248,0.9918216781361258
44,0.9395505096529924,0.9827729170886188,0.9688332476797303,0.9913116208301471
45,0.9407426997159313,0.9811665652713855,0.9694666890707655,0.9904937651085209
46,0.9344683684810385,0.9825705070407925,0.9661242165616709,0.9912086390384053
47,0.9426341160088008,0.9817388650274294,0.970470052225244,0.9907852970465321
48,0.9423586386307653,0.9816094910117221,0.9703240378873245,0.9907194081014981
49,0.941325077527604,0.9820037686051463,0.969775838600343,0.9909201830592286
50,0.9394881544075888,0.9849144084739957,0.9688000952958157,0.9923998780695021
51,0.9314363619626301,0.9805409294778068,0.9645012181671371,0.9901748707978867
52,0.9567271698845432,0.9819650143320933,0.9778850977379692,0.9909004520576846
53,0.944272490013358,0.9803986642921888,0.9713376029991253,0.9901023283537626
54,0.9428948499799216,0.9799179988528057,0.9706082138100945,0.9898571551150956
55,0.9427837173818648,0.9823579574124395,0.9705493297549141,0.9911004758138694
56,0.9476903872255802,0.9835048603450112,0.9731427473701644,0.9916838420793587
57,0.9354998664715607,0.9802430507143715,0.9666752064178522,0.9900229674945703
58,0.9213364623964636,0.980029358442405,0.959057906231884,0.9899139669457704
59,0.9389163016845357,0.980479413101547,0.9684959591796745,0.9901435042599697
60,0.937742597297193,0.980813978638839,0.9678711698913751,0.9903140721097167
61,0.9395221413313551,0.9808868219875971,0.9688181653718422,0.9903512013910897
62,0.9341874505419573,0.98064653583042,0.9659740582849909,0.9902287137964948
63,0.936388882310409,0.9819207091776974,0.9671496163447844,0.9908778939850708
64,0.9336320012612471,0.9819629889957271,0.9656770271202261,0.9908994208749516
65,0.9305970203278848,0.9811482030854073,0.9640510272514934,0.9904844085438771
66,0.9303891497288512,0.9810986050271615,0.963939472887668,0.9904591346816988
67,0.9527010244481482,0.981960997437736,0.9757776664427065,0.9908984068881352
68,0.9440950596403402,0.9801498081285042,0.9712437207828705,0.98997540903723
69,0.9364336623836702,0.9806438512188363,0.9671735010338117,0.990227345128579
70,0.93605351076276,0.9800944504087208,0.9669707015422077,0.9899471716679119
71,0.9330088134437017,0.981680750129149,0.965343569004762,0.9907557007506598
72,0.9361374830253955,0.9798667851814378,0.9670155050793121,0.989831025516842
73,0.9411076612923277,0.9834300070819516,0.9696604470313287,0.9916457889318583
74,0.9495665480361878,0.9830135706392572,0.974130941047068,0.9914340327205794
