metric,mean,std,ci95_low,ci95_high,n_seeds
split_half_corr,0.9382895964446729,0.006361506314552062,0.9222116482455971,0.9495940736261749,200
split_half_l2,0.9813936032154227,0.001154713103419093,0.9790339190298227,0.9837109571281271,200
full_corr_spearmanbrown,0.9681513737082867,0.00339001093495906,0.9595318485869408,0.9741454169380439,200
full_l2_spearmanbrown,0.990609098262966,0.0005882344799274055,0.9894059010852989,0.9917886006181792,200
