repr_distance,beh_distance,rsa_observed,ceiling,rsa_noise_corrected,mantel_p
repr_cos,beh_corr,0.1365134910971247,0.9681513737082867,0.14100428383863198,0.0001
repr_cos,beh_l2,0.233399791087185,0.990609098262966,0.23561240402137612,0.0001
repr_l2,beh_corr,0.0675079083525174,0.9681513737082867,0.06972867072836295,0.0135
repr_l2,beh_l2,0.2634288549047346,0.990609098262966,0.26592614116573066,0.0001
