role,alpha,method,score,start_score,gap_to_baseline,gap_closed
aberration,1.0,steered,29.06578947368421,29.06578947368421,59.934210526315795,0.0
aberration,1.0,assistant_axis,28.600877192982452,28.600877192982452,60.39912280701755,0.0
aberration,1.5,steered,33.32017543859649,29.06578947368421,55.67982456140351,0.0709842663739481
aberration,1.5,assistant_axis,31.49561403508772,28.600877192982452,57.50438596491228,0.047926802701328944
aberration,2.0,steered,43.28508771929825,29.06578947368421,45.71491228070175,0.23724844493230884
aberration,2.0,assistant_axis,24.885964912280706,28.600877192982452,64.11403508771929,-0.06150606346670526
aberration,2.5,steered,66.58771929824562,29.06578947368421,22.412280701754383,0.6260519575557996
aberration,2.5,assistant_axis,13.267543859649123,28.600877192982452,75.73245614035088,-0.2538668215815844
absurdist,1.0,steered,29.54385964912281,29.54385964912281,59.45614035087719,0.0
absurdist,1.0,assistant_axis,30.81140350877193,30.81140350877193,58.18859649122807,0.0
absurdist,1.5,steered,32.771929824561404,29.54385964912281,56.228070175438596,0.05429330185895544
absurdist,1.5,assistant_axis,34.521929824561404,30.81140350877193,54.478070175438596,0.06376724202909473
absurdist,2.0,steered,38.7280701754386,29.54385964912281,50.2719298245614,0.15447034523458256
absurdist,2.0,assistant_axis,41.16228070175438,30.81140350877193,47.83771929824562,0.1778849777643777
absurdist,2.5,steered,50.8640350877193,29.54385964912281,38.1359649122807,0.35858660371791096
absurdist,2.5,assistant_axis,23.50438596491228,30.81140350877193,65.49561403508773,-0.12557473430315824
accountant,1.0,steered,59.74561403508772,59.74561403508772,29.25438596491228,0.0
accountant,1.0,assistant_axis,61.6140350877193,61.6140350877193,27.3859649122807,0.0
accountant,1.5,steered,59.79824561403509,59.74561403508772,29.20175438596491,0.0017991004497751636
accountant,1.5,assistant_axis,61.93859649122807,61.6140350877193,27.06140350877193,0.01185137732222916
accountant,2.0,steered,61.8421052631579,59.74561403508772,27.157894736842103,0.07166416791604208
accountant,2.0,assistant_axis,42.90350877192982,61.6140350877193,46.09649122807018,-0.683215887251762
accountant,2.5,steered,61.66228070175438,59.74561403508772,27.337719298245617,0.06551724137931027
accountant,2.5,assistant_axis,14.86842105263158,61.6140350877193,74.13157894736842,-1.7069186418962206
activist,1.0,steered,53.109170305676855,53.109170305676855,35.890829694323145,0.0
activist,1.0,assistant_axis,56.60262008733624,56.60262008733624,32.39737991266376,0.0
activist,1.5,steered,55.72489082969432,53.109170305676855,33.27510917030568,0.0728799123981018
activist,1.5,assistant_axis,61.44978165938865,56.60262008733624,27.55021834061135,0.1496158511928833
activist,2.0,steered,59.73362445414847,53.109170305676855,29.26637554585153,0.18457233240053528
activist,2.0,assistant_axis,53.23144104803494,56.60262008733624,35.76855895196506,-0.10405715055937435
activist,2.5,steered,62.53947368421053,53.109170305676855,26.460526315789473,0.2627496622075935
activist,2.5,assistant_axis,19.539473684210527,56.60262008733624,69.46052631578948,-1.1440167847844436
actor,1.0,steered,45.57456140350877,45.57456140350877,43.42543859649123,0.0
actor,1.0,assistant_axis,40.64473684210526,40.64473684210526,48.35526315789474,0.0
actor,1.5,steered,52.87719298245614,45.57456140350877,36.12280701754386,0.16816483183516817
actor,1.5,assistant_axis,43.10964912280702,40.64473684210526,45.89035087719298,0.050975056689342525
actor,2.0,steered,64.57894736842105,45.57456140350877,24.421052631578945,0.43763256236743775
actor,2.0,assistant_axis,30.99561403508772,40.64473684210526,58.00438596491228,-0.1995464852607709
actor,2.5,steered,74.66666666666667,45.57456140350877,14.333333333333329,0.6699323300676701
actor,2.5,assistant_axis,16.31578947368421,40.64473684210526,72.6842105263158,-0.5031292517006802
addict,1.0,steered,38.31877729257642,38.31877729257642,50.68122270742358,0.0
addict,1.0,assistant_axis,37.62008733624455,37.62008733624455,51.37991266375545,0.0
addict,1.5,steered,47.7117903930131,38.31877729257642,41.2882096069869,0.1853351714630364
addict,1.5,assistant_axis,42.15720524017468,37.62008733624455,46.84279475982532,0.08830528641849399
addict,2.0,steered,63.786026200873366,38.31877729257642,25.213973799126634,0.5024987075650527
addict,2.0,assistant_axis,44.42794759825328,37.62008733624455,44.57205240174672,0.13250042495325512
addict,2.5,steered,75.49122807017544,38.31877729257642,13.508771929824562,0.7334560768628446
addict,2.5,assistant_axis,26.03070175438597,37.62008733624455,62.96929824561403,-0.22556257846724595
adolescent,1.0,steered,38.62882096069869,38.62882096069869,50.37117903930131,0.0
adolescent,1.0,assistant_axis,43.60262008733624,43.60262008733624,45.39737991266376,0.0
adolescent,1.5,steered,51.0174672489083,38.62882096069869,37.9825327510917,0.2459471174685739
adolescent,1.5,assistant_axis,48.66375545851528,43.60262008733624,40.33624454148472,0.11148518661023475
adolescent,2.0,steered,65.96069868995633,38.62882096069869,23.03930131004367,0.5426094495015171
adolescent,2.0,assistant_axis,43.76419213973799,43.60262008733624,45.23580786026201,0.003559061177376027
adolescent,2.5,steered,79.70614035087719,38.62882096069869,9.293859649122808,0.8154925132510513
adolescent,2.5,assistant_axis,32.58771929824562,43.60262008733624,56.41228070175438,-0.24263296274545526
advocate,1.0,steered,74.01315789473684,74.01315789473684,14.986842105263165,0.0
advocate,1.0,assistant_axis,71.16228070175438,71.16228070175438,17.837719298245617,0.0
advocate,1.5,steered,77.01315789473684,74.01315789473684,11.986842105263165,0.20017559262510964
advocate,1.5,assistant_axis,71.53070175438596,71.16228070175438,17.46929824561404,0.02065404475043008
advocate,2.0,steered,80.48684210526316,74.01315789473684,8.513157894736835,0.43195785776997436
advocate,2.0,assistant_axis,55.88157894736842,71.16228070175438,33.11842105263158,-0.8566510941726088
advocate,2.5,steered,78.73245614035088,74.01315789473684,10.267543859649123,0.31489610769681037
advocate,2.5,assistant_axis,17.69736842105263,71.16228070175438,71.30263157894737,-2.9972953036636336
alien,1.0,steered,37.50877192982456,37.50877192982456,51.49122807017544,0.0
alien,1.0,assistant_axis,36.56578947368421,36.56578947368421,52.43421052631579,0.0
alien,1.5,steered,42.530701754385966,37.50877192982456,46.469298245614034,0.0975298126064736
