role,cos_with_daa,aa_norm
aberration,0.9765296578407288,9.898561477661133
absurdist,0.9294102191925049,9.178285598754883
accountant,0.985063910484314,9.734508514404297
activist,0.9853982329368591,10.006197929382324
actor,0.9917082190513611,9.554596900939941
addict,0.9738695025444031,9.974052429199219
adolescent,0.961027204990387,9.718841552734375
advocate,0.9916229248046875,9.8734130859375
alien,0.9850772619247437,9.736311912536621
altruist,0.986956000328064,10.071880340576172
amateur,0.9876155257225037,9.699573516845703
ambassador,0.9919739961624146,9.888418197631836
amnesiac,0.9698753952980042,9.668919563293457
analyst,0.9859445691108704,9.385100364685059
anarchist,0.9714367389678955,9.986598014831543
ancient,0.9906314611434937,9.776108741760254
angel,0.9888476729393005,9.859014511108398
anthropologist,0.983181357383728,10.038579940795898
archaeologist,0.9847104549407959,9.798603057861328
architect,0.9900482892990112,9.718391418457031
archivist,0.9880896210670471,9.969778060913086
artisan,0.9885757565498352,9.866312980651855
ascetic,0.9777567386627197,9.91779899597168
assistant,0.9882104992866516,9.50070858001709
auctioneer,0.9846972227096558,9.280940055847168
auditor,0.979295551776886,9.811731338500977
avatar,0.9893268942832947,9.78822135925293
bard,0.9620955586433411,9.23707389831543
bartender,0.983628511428833,9.331329345703125
biologist,0.9847842454910278,9.799145698547363
blogger,0.990240216255188,9.644457817077637
bohemian,0.9738883376121521,9.474869728088379
builder,0.9920105338096619,9.648877143859863
caregiver,0.9881923198699951,9.9364013671875
cartographer,0.987610936164856,9.650650978088379
caveman,0.9112462401390076,9.15254020690918
celebrity,0.987581193447113,9.876051902770996
chameleon,0.9903725385665894,9.677581787109375
chef,0.9901451468467712,9.570302963256836
chemist,0.9778317213058472,8.795262336730957
chimera,0.987789511680603,9.654400825500488
coach,0.9861171245574951,9.458620071411133
collaborator,0.989234447479248,9.774784088134766
collector,0.9890269637107849,9.881831169128418
comedian,0.906043529510498,8.82481575012207
competitor,0.9811435341835022,9.751288414001465
composer,0.9845358729362488,9.907721519470215
conservator,0.985109269618988,9.857367515563965
consultant,0.9852070808410645,9.418915748596191
contrarian,0.9801707863807678,9.71594524383545
coordinator,0.9883677959442139,9.73344612121582
coral_reef,0.9725984334945679,9.700037956237793
cosmopolitan,0.9927345514297485,9.786354064941406
counselor,0.9803667664527893,10.01778507232666
criminal,0.9787420034408569,9.746967315673828
critic,0.9921473264694214,9.997689247131348
crystalline,0.9714120626449585,9.80678939819336
curator,0.9938269853591919,9.655966758728027
cyborg,0.9912346005439758,9.741432189941406
cynic,0.9609765410423279,9.643373489379883
daredevil,0.965076208114624,9.346367835998535
debugger,0.9870226979255676,9.497708320617676
demon,0.959531307220459,9.373661994934082
designer,0.9915321469306946,9.711077690124512
destroyer,0.9829095602035522,9.86396312713623
detective,0.9918583631515503,9.635068893432617
devils_advocate,0.979149580001831,9.7461576461792
dilettante,0.9893890619277954,9.687053680419922
dispatcher,0.9885240793228149,9.618382453918457
divorcee,0.9839992523193359,10.013128280639648
doctor,0.9882494807243347,9.663463592529297
dreamer,0.9704580307006836,9.724543571472168
echo,0.9845384359359741,9.745555877685547
economist,0.9815129041671753,9.69275188446045
ecosystem,0.9915244579315186,9.735931396484375
editor,0.9888672232627869,9.606050491333008
egregore,0.9873723983764648,9.808235168457031
elder,0.9880173802375793,9.674789428710938
eldritch,0.9670299887657166,9.71253490447998
emissary,0.9927886128425598,10.031131744384766
empath,0.9896730780601501,9.860309600830078
engineer,0.9882597923278809,9.57715129852295
entrepreneur,0.9907587766647339,9.66556167602539
evaluator,0.9844155311584473,9.501665115356445
evangelist,0.9902694225311279,9.523913383483887
examiner,0.9797308444976807,9.600533485412598
exile,0.9808014035224915,9.91505241394043
expatriate,0.9890505075454712,9.729416847229004
facilitator,0.986319363117218,9.822978973388672
familiar,0.992685079574585,9.558113098144531
fixer,0.9865679740905762,9.657011985778809
flaneur,0.9841632843017578,9.529305458068848
fool,0.9387481212615967,9.282466888427734
forecaster,0.9850613474845886,9.57990837097168
futurist,0.9792702794075012,9.784521102905273
gamer,0.9780245423316956,9.363801956176758
generalist,0.9933168292045593,9.619847297668457
genie,0.9628560543060303,9.109513282775879
geographer,0.9839706420898438,9.76978874206543
ghost,0.9841036796569824,9.562956809997559
golem,0.9864399433135986,9.698675155639648
gossip,0.9627935886383057,9.209083557128906
grader,0.9602696299552917,9.348097801208496
graduate,0.9916250705718994,9.869267463684082
grandparent,0.9844645261764526,9.71429443359375
guardian,0.9921553134918213,9.898569107055664
guide,0.9892538785934448,9.43803596496582
guru,0.9838190078735352,9.526278495788574
hacker,0.9831966757774353,9.58815860748291
healer,0.9894698858261108,9.945920944213867
hedonist,0.9784674644470215,9.655355453491211
hermit,0.9802199006080627,9.796760559082031
historian,0.9784938097000122,9.771321296691895
hive,0.9902257919311523,9.789254188537598
hoarder,0.9668682813644409,9.60460090637207
homunculus,0.9878820180892944,9.592902183532715
hybrid,0.9913686513900757,9.775660514831543
idealist,0.9899682402610779,10.15454387664795
immigrant,0.9807068109512329,10.021552085876465
improviser,0.9865330457687378,9.592720031738281
infant,0.8615240454673767,9.090280532836914
influencer,0.9882822036743164,9.443689346313477
instructor,0.9863229990005493,9.288530349731445
interpreter,0.9918667078018188,9.721457481384277
interviewer,0.9815316200256348,9.792022705078125
jester,0.9311850666999817,8.793455123901367
journalist,0.9907777309417725,9.873143196105957
judge,0.9885836839675903,9.845216751098633
lawyer,0.9805128574371338,9.643056869506836
leviathan,0.9655699729919434,9.490595817565918
librarian,0.989922046661377,9.519905090332031
linguist,0.9820994138717651,9.817468643188477
loner,0.980558454990387,9.865478515625
luddite,0.9787067174911499,9.83822250366211
marketer,0.9887462258338928,9.60523796081543
martyr,0.9731869101524353,10.141735076904297
mathematician,0.981830358505249,9.49161434173584
maverick,0.9836971759796143,9.412861824035645
mechanic,0.9859152436256409,9.373583793640137
mediator,0.9890265464782715,9.930495262145996
mentor,0.9892537593841553,9.565176010131836
merchant,0.9908136129379272,9.825115203857422
minimalist,0.9755700826644897,9.7420015335083
moderator,0.9873436093330383,9.893850326538086
musician,0.9887232184410095,9.745654106140137
mycorrhizal,0.9740055203437805,9.713228225708008
mystic,0.9706487059593201,9.70654582977295
narcissist,0.924125075340271,9.982768058776855
narrator,0.9761582612991333,9.371052742004395
naturalist,0.9870573282241821,9.947707176208496
navigator,0.9947428703308105,9.641438484191895
negotiator,0.9899260997772217,9.847643852233887
networker,0.9910315275192261,9.872647285461426
newlywed,0.9825116991996765,9.780828475952148
nomad,0.988239049911499,9.552177429199219
novelist,0.9862842559814453,9.739455223083496
nutritionist,0.985466480255127,9.667767524719238
observer,0.9904441237449646,10.002256393432617
optimist,0.9868034720420837,10.01646614074707
oracle,0.9817547798156738,9.565400123596191
organizer,0.9898666143417358,9.5264253616333
orphan,0.9839959144592285,9.951066970825195
pacifist,0.9834111928939819,10.154545783996582
paramedic,0.9879873991012573,9.563931465148926
parasite,0.9613070487976074,9.741645812988281
parent,0.9867638945579529,9.621703147888184
patient,0.9858143925666809,9.802945137023926
peacekeeper,0.9879739880561829,10.038198471069336
perfectionist,0.9890921711921692,9.6450777053833
pharmacist,0.9856172800064087,9.532695770263672
philosopher,0.9864845275878906,10.075945854187012
photographer,0.9886202812194824,9.755204200744629
physicist,0.9873104691505432,9.627021789550781
pilgrim,0.981652557849884,9.998147010803223
pilot,0.9852017760276794,9.594596862792969
pirate,0.9585579633712769,8.918413162231445
planner,0.9839975833892822,9.392032623291016
playwright,0.9880931973457336,9.520028114318848
podcaster,0.9926824569702148,9.814971923828125
poet,0.9328061938285828,9.122262001037598
polymath,0.9925534129142761,9.68244743347168
pragmatist,0.9879359602928162,9.564870834350586
predator,0.9825876951217651,9.621870994567871
presenter,0.9929073452949524,9.451645851135254
prey,0.9722582697868347,9.735612869262695
prisoner,0.9789515733718872,9.654204368591309
procrastinator,0.9455491304397583,9.44929027557373
prodigy,0.9938501119613647,9.531035423278809
producer,0.9921579957008362,9.732998847961426
programmer,0.989589512348175,9.624833106994629
proofreader,0.9832165837287903,9.850895881652832
prophet,0.983360767364502,9.87817096710205
provincial,0.982007622718811,9.701201438903809
provocateur,0.9730637073516846,9.522350311279297
psychologist,0.9852400422096252,9.678685188293457
publisher,0.9915492534637451,9.676126480102539
purist,0.9785559177398682,9.925082206726074
realist,0.9902711510658264,9.689424514770508
rebel,0.9786006808280945,9.523137092590332
recruiter,0.9903782606124878,9.722161293029785
refugee,0.983288586139679,10.033597946166992
reporter,0.9918359518051147,9.88259506225586
