role_norm,parallel_norm,perp_norm,cos_with_daa,angle_deg,perp_frac,role,steered_score_alpha_1.0,assistant_axis_score_alpha_1.0,advantage_alpha_1.0,steered_score_alpha_1.5,assistant_axis_score_alpha_1.5,advantage_alpha_1.5,steered_score_alpha_2.0,assistant_axis_score_alpha_2.0,advantage_alpha_2.0,steered_score_alpha_2.5,assistant_axis_score_alpha_2.5,advantage_alpha_2.5
3.788794994354248,0.9902429580688477,3.6571006774902344,-0.26136094331741333,74.84916896556285,0.96524113,aberration,29.06578947368421,28.600877192982455,0.4649122807017544,33.32017543859649,31.49561403508772,1.8245614035087718,43.28508771929825,24.885964912280702,18.399122807017545,66.58771929824562,13.267543859649123,53.32017543859649
3.459686517715454,1.0638591051101685,3.2920563220977783,-0.30750158429145813,72.09127131002766,0.95154756,absurdist,29.54385964912281,30.81140350877193,-1.2675438596491229,32.771929824561404,34.521929824561404,-1.75,38.728070175438596,41.16228070175438,-2.4342105263157894,50.8640350877193,23.50438596491228,27.359649122807017
3.4523096084594727,0.691044270992279,3.3824398517608643,-0.2001686841249466,78.45317660835552,0.9797614,accountant,59.74561403508772,61.6140350877193,-1.868421052631579,59.79824561403509,61.93859649122807,-2.1403508771929824,61.8421052631579,42.90350877192982,18.93859649122807,61.66228070175438,14.868421052631579,46.79385964912281
3.500443935394287,0.96759432554245,3.3640553951263428,-0.2764204740524292,73.95331696146363,0.9610368,activist,53.109170305676855,56.60262008733624,-3.493449781659389,55.724890829694324,61.44978165938865,-5.724890829694323,59.73362445414847,53.23144104803494,6.502183406113537,62.53947368421053,19.539473684210527,43.0
3.4977238178253174,0.8905823826789856,3.3824450969696045,-0.25461772084236145,75.24906549686385,0.9670418,actor,45.574561403508774,40.64473684210526,4.9298245614035086,52.87719298245614,43.10964912280702,9.767543859649123,64.57894736842105,30.99561403508772,33.583333333333336,74.66666666666667,16.31578947368421,58.35087719298246
4.5024733543396,1.2593201398849487,4.322774410247803,-0.27969518303871155,73.75798687197548,0.96008885,addict,38.31877729257642,37.620087336244545,0.6986899563318777,47.7117903930131,42.157205240174676,5.554585152838428,63.786026200873366,44.427947598253276,19.358078602620086,75.49122807017544,26.030701754385966,49.46052631578947
3.775885581970215,1.098199725151062,3.612654209136963,-0.2908456325531006,73.09141041257143,0.95677006,adolescent,38.62882096069869,43.60262008733624,-4.973799126637554,51.0174672489083,48.66375545851528,2.353711790393013,65.96069868995633,43.76419213973799,22.19650655021834,79.70614035087719,32.58771929824562,47.11842105263158
4.236433029174805,1.139449954032898,4.080320835113525,-0.2689644694328308,74.39734395267081,0.9631501,advocate,74.01315789473684,71.16228070175438,2.8508771929824563,77.01315789473684,71.53070175438596,5.482456140350878,80.48684210526316,55.88157894736842,24.605263157894736,78.73245614035088,17.69736842105263,61.03508771929825
4.189554691314697,1.013936161994934,4.065009593963623,-0.2420152723789215,75.99448605264742,0.9702725,alien,37.50877192982456,36.56578947368421,0.9429824561403509,42.530701754385966,38.583333333333336,3.9473684210526314,53.73245614035088,30.92543859649123,22.80701754385965,76.19298245614036,16.11842105263158,60.074561403508774
3.593801975250244,0.8778069615364075,3.4849488735198975,-0.24425581097602844,75.86214125340662,0.9697109,altruist,71.27510917030568,58.48471615720524,12.790393013100436,73.02620087336244,75.86899563318778,-2.8427947598253276,75.24454148471615,68.4585152838428,6.786026200873362,74.3859649122807,25.74561403508772,48.64035087719298
