method,alpha,mean_abs_intercorr,pc1_variance_fraction
steered,1.0,0.976845380655784,0.9778939985729952
steered,1.5,0.9751564972314952,0.9771609098115271
steered,2.0,0.9683689752282575,0.9729066322916287
steered,2.5,0.9500922795119596,0.9638443884977739
assistant_axis,1.0,0.9735186087562575,0.9744558461408322
assistant_axis,1.5,0.971838601794954,0.9725812653102974
assistant_axis,2.0,0.953322442087013,0.9599080038199381
assistant_axis,2.5,0.8855239072417322,0.9240431136881699
