alpha,total,steered_missing,steered_malformed,steered_duplicate,baseline_missing,baseline_malformed,assistant_axis_missing,assistant_axis_malformed,assistant_axis_duplicate
1.0,228,25,0,0,25,0,25,0,203
1.5,228,25,0,0,25,0,25,0,203
2.0,228,25,0,0,25,0,25,0,203
2.5,228,26,0,0,26,0,26,0,202
