alpha,total,steered_missing,steered_malformed,steered_duplicate,baseline_missing,baseline_malformed,assistant_axis_missing,assistant_axis_malformed,assistant_axis_duplicate
1.0,229,159,0,0,159,0,0,0,0
1.5,229,159,0,0,159,0,0,0,0
2.0,228,159,0,0,159,0,0,0,0
2.5,229,160,0,0,160,0,160,0,0
