repr_distance,beh_distance,rsa_full,rsa_partial_minus_norm,delta
repr_cos,beh_corr,0.13651349109712477,0.13190343588923542,-0.004610055207889346
repr_cos,beh_l2,0.23339979108718506,0.21839834012689865,-0.015001450960286405
repr_l2,beh_corr,0.06750790835251744,0.05799710754854338,-0.009510800803974054
repr_l2,beh_l2,0.2634288549047346,0.24509186483902592,-0.018336990065708686
