O*NET-SOC Code	Element Name
29-1011.00	Reading Comprehension
29-1011.00	Active Listening
29-1011.00	Writing
29-1011.00	Speaking
29-1011.00	Critical Thinking
29-1021.00	Reading Comprehension
29-1021.00	Active Listening
29-1021.00	Speaking
29-1021.00	Critical Thinking
29-1021.00	Judgment and Decision Making
29-1022.00	Reading Comprehension
29-1022.00	Active Listening
29-1022.00	Critical Thinking
29-1022.00	Complex Problem Solving
29-1022.00	Judgment and Decision Making
29-1023.00	Active Listening
29-1023.00	Speaking
29-1023.00	Critical Thinking
29-1023.00	Monitoring
29-1023.00	Complex Problem Solving
29-1024.00	Reading Comprehension
29-1024.00	Active Listening
29-1024.00	Speaking
29-1024.00	Critical Thinking
29-1024.00	Complex Problem Solving
29-1051.00	Reading Comprehension
29-1051.00	Active Listening
29-1051.00	Writing
29-1051.00	Speaking
29-1051.00	Critical Thinking
29-1071.01	Reading Comprehension
29-1071.01	Active Listening
29-1071.01	Speaking
29-1071.01	Critical Thinking
29-1071.01	Monitoring
29-1081.00	Reading Comprehension
29-1081.00	Active Listening
29-1081.00	Speaking
29-1081.00	Critical Thinking
29-1081.00	Active Learning
29-1123.00	Reading Comprehension
29-1123.00	Active Listening
29-1123.00	Speaking
29-1123.00	Critical Thinking
29-1123.00	Social Perceptiveness
29-1124.00	Reading Comprehension
29-1124.00	Active Listening
29-1124.00	Critical Thinking
29-1124.00	Social Perceptiveness
29-1124.00	Operations Monitoring
29-1126.00	Reading Comprehension
29-1126.00	Active Listening
29-1126.00	Speaking
29-1126.00	Critical Thinking
29-1126.00	Monitoring
29-1127.00	Reading Comprehension
29-1127.00	Active Listening
29-1127.00	Writing
29-1127.00	Critical Thinking
29-1127.00	Social Perceptiveness
29-1131.00	Reading Comprehension
29-1131.00	Active Listening
29-1131.00	Speaking
29-1131.00	Science
29-1131.00	Active Learning
29-1141.00	Active Listening
29-1141.00	Speaking
29-1141.00	Critical Thinking
29-1141.00	Social Perceptiveness
29-1141.00	Coordination
29-1211.00	Reading Comprehension
29-1211.00	Active Listening
29-1211.00	Critical Thinking
29-1211.00	Monitoring
29-1211.00	Judgment and Decision Making
29-1213.00	Reading Comprehension
29-1213.00	Active Listening
29-1213.00	Speaking
29-1213.00	Critical Thinking
29-1213.00	Service Orientation
29-1215.00	Reading Comprehension
29-1215.00	Active Listening
29-1215.00	Writing
29-1215.00	Speaking
29-1215.00	Critical Thinking
29-1216.00	Reading Comprehension
29-1216.00	Active Listening
29-1216.00	Writing
29-1216.00	Speaking
29-1216.00	Science
29-1217.00	Reading Comprehension
29-1217.00	Active Listening
29-1217.00	Speaking
29-1217.00	Critical Thinking
29-1217.00	Social Perceptiveness
29-1218.00	Reading Comprehension
29-1218.00	Active Listening
29-1218.00	Writing
29-1218.00	Critical Thinking
29-1218.00	Active Learning
29-1221.00	Reading Comprehension
29-1221.00	Active Listening
29-1221.00	Speaking
29-1221.00	Critical Thinking
29-1221.00	Judgment and Decision Making
29-1222.00	Reading Comprehension
29-1222.00	Active Listening
29-1222.00	Writing
29-1222.00	Science
29-1222.00	Critical Thinking
29-1223.00	Reading Comprehension
29-1223.00	Active Listening
29-1223.00	Speaking
29-1223.00	Critical Thinking
29-1223.00	Social Perceptiveness
29-1224.00	Reading Comprehension
29-1224.00	Active Listening
29-1224.00	Writing
29-1224.00	Speaking
29-1224.00	Critical Thinking
29-1229.01	Reading Comprehension
29-1229.01	Active Listening
29-1229.01	Writing
29-1229.01	Critical Thinking
29-1229.01	Judgment and Decision Making
29-1229.03	Reading Comprehension
29-1229.03	Active Listening
29-1229.03	Writing
29-1229.03	Critical Thinking
29-1229.03	Judgment and Decision Making
29-1229.04	Reading Comprehension
29-1229.04	Active Listening
29-1229.04	Speaking
29-1229.04	Critical Thinking
29-1229.04	Social Perceptiveness
29-1229.06	Reading Comprehension
29-1229.06	Active Listening
29-1229.06	Critical Thinking
29-1229.06	Monitoring
29-1229.06	Judgment and Decision Making
29-1241.00	Reading Comprehension
29-1241.00	Active Listening
29-1241.00	Writing
29-1241.00	Speaking
29-1241.00	Critical Thinking
29-1292.00	Active Listening
29-1292.00	Writing
29-1292.00	Speaking
29-1292.00	Critical Thinking
29-1292.00	Monitoring
29-2011.00	Reading Comprehension
29-2011.00	Active Listening
29-2011.00	Science
29-2011.00	Critical Thinking
29-2011.00	Quality Control Analysis
29-2012.00	Reading Comprehension
29-2012.00	Active Listening
29-2012.00	Speaking
29-2012.00	Science
29-2012.00	Critical Thinking
29-2031.00	Active Listening
29-2031.00	Speaking
29-2031.00	Critical Thinking
29-2031.00	Monitoring
29-2031.00	Operations Monitoring
29-2032.00	Reading Comprehension
29-2032.00	Active Listening
29-2032.00	Speaking
29-2032.00	Critical Thinking
29-2032.00	Social Perceptiveness
29-2033.00	Reading Comprehension
29-2033.00	Active Listening
29-2033.00	Writing
29-2033.00	Speaking
29-2033.00	Critical Thinking
29-2034.00	Reading Comprehension
29-2034.00	Active Listening
29-2034.00	Speaking
29-2034.00	Social Perceptiveness
29-2034.00	Service Orientation
29-2051.00	Reading Comprehension
29-2051.00	Active Listening
29-2051.00	Writing
29-2051.00	Speaking
29-2051.00	Critical Thinking
29-2052.00	Reading Comprehension
29-2052.00	Active Listening
29-2052.00	Speaking
29-2052.00	Critical Thinking
29-2052.00	Active Learning
29-2053.00	Active Listening
29-2053.00	Speaking
29-2053.00	Monitoring
29-2053.00	Social Perceptiveness
29-2053.00	Coordination
29-2055.00	Active Listening
29-2055.00	Speaking
29-2055.00	Critical Thinking
29-2055.00	Monitoring
29-2055.00	Operations Monitoring
29-2056.00	Reading Comprehension
29-2056.00	Active Listening
29-2056.00	Writing
29-2056.00	Speaking
29-2056.00	Critical Thinking
29-2061.00	Active Listening
29-2061.00	Speaking
29-2061.00	Social Perceptiveness
29-2061.00	Coordination
29-2061.00	Service Orientation
29-2092.00	Reading Comprehension
29-2092.00	Active Listening
29-2092.00	Speaking
29-2092.00	Instructing
29-2092.00	Service Orientation
29-2099.08	Reading Comprehension
29-2099.08	Active Listening
29-2099.08	Speaking
29-2099.08	Social Perceptiveness
29-2099.08	Service Orientation
29-9091.00	Active Listening
29-9091.00	Speaking
29-9091.00	Critical Thinking
29-9091.00	Monitoring
29-9091.00	Judgment and Decision Making
29-9093.00	Reading Comprehension
29-9093.00	Active Listening
29-9093.00	Speaking
29-9093.00	Critical Thinking
29-9093.00	Monitoring
29-9099.01	Active Listening
29-9099.01	Speaking
29-9099.01	Critical Thinking
29-9099.01	Monitoring
29-9099.01	Social Perceptiveness
31-1121.00	Reading Comprehension
31-1121.00	Active Listening
31-1121.00	Critical Thinking
31-1121.00	Social Perceptiveness
31-1121.00	Service Orientation
31-1122.00	Active Listening
31-1122.00	Critical Thinking
31-1122.00	Monitoring
31-1122.00	Social Perceptiveness
31-1122.00	Service Orientation
31-1131.00	Reading Comprehension
31-1131.00	Active Listening
31-1131.00	Monitoring
31-1131.00	Social Perceptiveness
31-1131.00	Service Orientation
31-1132.00	Active Listening
31-1132.00	Speaking
31-1132.00	Social Perceptiveness
31-1132.00	Coordination
31-1132.00	Service Orientation
31-1133.00	Active Listening
31-1133.00	Speaking
31-1133.00	Monitoring
31-1133.00	Social Perceptiveness
31-1133.00	Service Orientation
31-2011.00	Reading Comprehension
31-2011.00	Active Listening
31-2011.00	Speaking
31-2011.00	Social Perceptiveness
31-2011.00	Service Orientation
31-2012.00	Active Listening
31-2012.00	Speaking
31-2012.00	Social Perceptiveness
31-2012.00	Coordination
31-2012.00	Service Orientation
31-2021.00	Reading Comprehension
31-2021.00	Active Listening
31-2021.00	Speaking
31-2021.00	Monitoring
31-2021.00	Social Perceptiveness
31-2022.00	Reading Comprehension
31-2022.00	Active Listening
31-2022.00	Monitoring
31-2022.00	Social Perceptiveness
31-2022.00	Service Orientation
31-9091.00	Reading Comprehension
31-9091.00	Active Listening
31-9091.00	Speaking
31-9091.00	Active Learning
31-9091.00	Monitoring
31-9092.00	Reading Comprehension
31-9092.00	Active Listening
31-9092.00	Speaking
31-9092.00	Critical Thinking
31-9092.00	Social Perceptiveness
31-9093.00	Active Listening
31-9093.00	Critical Thinking
31-9093.00	Monitoring
31-9093.00	Operations Monitoring
31-9093.00	Quality Control Analysis
31-9094.00	Reading Comprehension
31-9094.00	Active Listening
31-9094.00	Writing
31-9094.00	Speaking
31-9094.00	Monitoring
31-9095.00	Reading Comprehension
31-9095.00	Active Listening
31-9095.00	Speaking
31-9095.00	Social Perceptiveness
31-9095.00	Service Orientation
31-9096.00	Reading Comprehension
31-9096.00	Active Listening
31-9096.00	Writing
31-9096.00	Critical Thinking
31-9096.00	Monitoring
31-9099.01	Reading Comprehension
31-9099.01	Active Listening
31-9099.01	Speaking
31-9099.01	Monitoring
31-9099.01	Social Perceptiveness
33-1011.00	Active Listening
33-1011.00	Critical Thinking
33-1011.00	Monitoring
33-1011.00	Social Perceptiveness
33-1011.00	Coordination
33-1012.00	Reading Comprehension
33-1012.00	Active Listening
33-1012.00	Speaking
33-1012.00	Critical Thinking
33-1012.00	Monitoring
33-1021.00	Reading Comprehension
33-1021.00	Active Listening
33-1021.00	Speaking
33-1021.00	Critical Thinking
33-1021.00	Social Perceptiveness
33-1091.00	Reading Comprehension
33-1091.00	Active Listening
33-1091.00	Speaking
33-1091.00	Critical Thinking
33-1091.00	Judgment and Decision Making
33-2011.00	Active Listening
33-2011.00	Critical Thinking
33-2011.00	Coordination
33-2011.00	Service Orientation
33-2011.00	Judgment and Decision Making
33-2021.00	Reading Comprehension
33-2021.00	Active Listening
33-2021.00	Writing
33-2021.00	Speaking
33-2021.00	Critical Thinking
33-2022.00	Active Listening
33-2022.00	Speaking
33-2022.00	Critical Thinking
33-2022.00	Coordination
33-2022.00	Judgment and Decision Making
33-3011.00	Active Listening
33-3011.00	Speaking
33-3011.00	Monitoring
33-3011.00	Social Perceptiveness
33-3011.00	Judgment and Decision Making
33-3012.00	Active Listening
33-3012.00	Speaking
33-3012.00	Critical Thinking
33-3012.00	Monitoring
33-3012.00	Social Perceptiveness
33-3021.00	Reading Comprehension
33-3021.00	Active Listening
33-3021.00	Speaking
33-3021.00	Critical Thinking
33-3021.00	Social Perceptiveness
33-3021.02	Reading Comprehension
33-3021.02	Active Listening
33-3021.02	Writing
33-3021.02	Speaking
33-3021.02	Critical Thinking
33-3031.00	Reading Comprehension
33-3031.00	Active Listening
33-3031.00	Speaking
33-3031.00	Critical Thinking
33-3031.00	Judgment and Decision Making
33-3041.00	Active Listening
33-3041.00	Speaking
33-3041.00	Critical Thinking
33-3041.00	Monitoring
33-3041.00	Social Perceptiveness
33-3051.00	Active Listening
33-3051.00	Speaking
33-3051.00	Critical Thinking
33-3051.00	Active Learning
33-3051.00	Social Perceptiveness
33-3051.04	Reading Comprehension
33-3051.04	Active Listening
33-3051.04	Speaking
33-3051.04	Critical Thinking
33-3051.04	Social Perceptiveness
33-3052.00	Active Listening
33-3052.00	Speaking
33-3052.00	Critical Thinking
33-3052.00	Monitoring
33-3052.00	Complex Problem Solving
33-9021.00	Reading Comprehension
33-9021.00	Active Listening
33-9021.00	Speaking
33-9021.00	Critical Thinking
33-9021.00	Complex Problem Solving
33-9031.00	Reading Comprehension
33-9031.00	Speaking
33-9031.00	Critical Thinking
33-9031.00	Monitoring
33-9031.00	Judgment and Decision Making
33-9032.00	Active Listening
33-9032.00	Speaking
33-9032.00	Critical Thinking
33-9032.00	Monitoring
33-9032.00	Coordination
33-9091.00	Active Listening
33-9091.00	Speaking
33-9091.00	Critical Thinking
33-9091.00	Monitoring
33-9091.00	Social Perceptiveness
33-9092.00	Active Listening
33-9092.00	Speaking
33-9092.00	Monitoring
33-9092.00	Social Perceptiveness
33-9092.00	Service Orientation
33-9099.02	Active Listening
33-9099.02	Speaking
33-9099.02	Critical Thinking
33-9099.02	Monitoring
33-9099.02	Social Perceptiveness
35-1012.00	Active Listening
35-1012.00	Speaking
35-1012.00	Monitoring
35-1012.00	Coordination
35-1012.00	Management of Personnel Resources
35-2011.00	Active Listening
35-2011.00	Speaking
35-2011.00	Social Perceptiveness
35-2011.00	Coordination
35-2011.00	Service Orientation
35-2012.00	Speaking
35-2012.00	Monitoring
35-2012.00	Service Orientation
35-2012.00	Operations Monitoring
35-2012.00	Quality Control Analysis
35-2014.00	Active Listening
35-2014.00	Speaking
35-2014.00	Critical Thinking
35-2014.00	Monitoring
35-2014.00	Time Management
35-2015.00	Reading Comprehension
35-2015.00	Active Listening
35-2015.00	Speaking
35-2015.00	Coordination
35-2015.00	Time Management
35-2021.00	Active Listening
35-2021.00	Speaking
35-2021.00	Coordination
35-2021.00	Service Orientation
35-2021.00	Time Management
35-3011.00	Active Listening
35-3011.00	Speaking
35-3011.00	Critical Thinking
35-3011.00	Social Perceptiveness
35-3011.00	Service Orientation
35-3023.00	Active Listening
35-3023.00	Monitoring
35-3023.00	Social Perceptiveness
35-3023.00	Coordination
35-3023.00	Service Orientation
35-3023.01	Reading Comprehension
35-3023.01	Active Listening
35-3023.01	Speaking
35-3023.01	Social Perceptiveness
35-3023.01	Service Orientation
35-3031.00	Active Listening
35-3031.00	Speaking
35-3031.00	Social Perceptiveness
35-3031.00	Coordination
35-3031.00	Service Orientation
35-3041.00	Reading Comprehension
35-3041.00	Active Listening
35-3041.00	Speaking
35-3041.00	Critical Thinking
35-3041.00	Service Orientation
35-9011.00	Active Listening
35-9011.00	Speaking
35-9011.00	Monitoring
35-9011.00	Coordination
35-9011.00	Service Orientation
35-9021.00	Active Listening
35-9021.00	Speaking
35-9021.00	Coordination
35-9021.00	Operation and Control
35-9021.00	Time Management
35-9031.00	Reading Comprehension
35-9031.00	Active Listening
35-9031.00	Speaking
35-9031.00	Social Perceptiveness
35-9031.00	Service Orientation
37-1011.00	Speaking
37-1011.00	Monitoring
37-1011.00	Coordination
37-1011.00	Time Management
37-1011.00	Management of Personnel Resources
37-1012.00	Active Listening
37-1012.00	Speaking
37-1012.00	Monitoring
37-1012.00	Time Management
37-1012.00	Management of Personnel Resources
37-2011.00	Active Listening
37-2011.00	Speaking
37-2011.00	Critical Thinking
37-2011.00	Monitoring
37-2011.00	Coordination
37-2012.00	Active Listening
37-2012.00	Social Perceptiveness
37-2012.00	Coordination
37-2012.00	Service Orientation
37-2012.00	Time Management
37-2021.00	Active Listening
37-2021.00	Writing
37-2021.00	Speaking
37-2021.00	Critical Thinking
37-2021.00	Monitoring
37-3011.00	Active Listening
37-3011.00	Speaking
37-3011.00	Critical Thinking
37-3011.00	Coordination
37-3011.00	Operation and Control
37-3012.00	Reading Comprehension
37-3012.00	Active Listening
37-3012.00	Speaking
37-3012.00	Critical Thinking
37-3012.00	Time Management
37-3013.00	Critical Thinking
37-3013.00	Monitoring
37-3013.00	Complex Problem Solving
37-3013.00	Operations Monitoring
37-3013.00	Operation and Control
39-1013.00	Reading Comprehension
39-1013.00	Active Listening
39-1013.00	Speaking
39-1013.00	Monitoring
39-1013.00	Service Orientation
39-1022.00	Active Listening
39-1022.00	Speaking
39-1022.00	Critical Thinking
39-1022.00	Social Perceptiveness
39-1022.00	Coordination
39-2011.00	Speaking
39-2011.00	Critical Thinking
39-2011.00	Active Learning
39-2011.00	Learning Strategies
39-2011.00	Instructing
39-2021.00	Reading Comprehension
39-2021.00	Active Listening
39-2021.00	Monitoring
39-2021.00	Coordination
39-2021.00	Service Orientation
39-3011.00	Reading Comprehension
39-3011.00	Active Listening
39-3011.00	Speaking
39-3011.00	Social Perceptiveness
39-3011.00	Service Orientation
39-3012.00	Active Listening
39-3012.00	Speaking
39-3012.00	Mathematics
39-3012.00	Monitoring
39-3012.00	Social Perceptiveness
39-3021.00	Reading Comprehension
39-3021.00	Active Listening
39-3021.00	Speaking
39-3021.00	Operations Monitoring
39-3021.00	Operation and Control
39-3031.00	Active Listening
39-3031.00	Speaking
39-3031.00	Social Perceptiveness
39-3031.00	Coordination
39-3031.00	Service Orientation
39-3091.00	Active Listening
39-3091.00	Speaking
39-3091.00	Monitoring
39-3091.00	Social Perceptiveness
39-3091.00	Service Orientation
39-3092.00	Active Listening
39-3092.00	Speaking
39-3092.00	Monitoring
39-3092.00	Social Perceptiveness
39-3092.00	Coordination
39-3093.00	Active Listening
39-3093.00	Speaking
39-3093.00	Monitoring
39-3093.00	Social Perceptiveness
39-3093.00	Service Orientation
39-4011.00	Active Listening
39-4011.00	Writing
39-4011.00	Speaking
39-4011.00	Critical Thinking
39-4011.00	Social Perceptiveness
39-4021.00	Active Listening
39-4021.00	Speaking
39-4021.00	Monitoring
39-4021.00	Social Perceptiveness
39-4021.00	Service Orientation
39-4031.00	Active Listening
39-4031.00	Speaking
39-4031.00	Social Perceptiveness
39-4031.00	Coordination
39-4031.00	Service Orientation
39-5011.00	Active Listening
39-5011.00	Speaking
39-5011.00	Social Perceptiveness
39-5011.00	Service Orientation
39-5011.00	Judgment and Decision Making
39-5012.00	Active Listening
39-5012.00	Speaking
39-5012.00	Critical Thinking
39-5012.00	Active Learning
39-5012.00	Service Orientation
39-5092.00	Reading Comprehension
39-5092.00	Active Listening
39-5092.00	Speaking
39-5092.00	Social Perceptiveness
39-5092.00	Service Orientation
39-5093.00	Active Listening
39-5093.00	Speaking
39-5093.00	Monitoring
39-5093.00	Social Perceptiveness
39-5093.00	Service Orientation
39-5094.00	Reading Comprehension
39-5094.00	Active Listening
39-5094.00	Speaking
39-5094.00	Monitoring
39-5094.00	Service Orientation
39-6011.00	Active Listening
39-6011.00	Speaking
39-6011.00	Critical Thinking
39-6011.00	Coordination
39-6011.00	Service Orientation
39-7011.00	Reading Comprehension
39-7011.00	Active Listening
39-7011.00	Speaking
39-7011.00	Social Perceptiveness
39-7011.00	Service Orientation
39-7012.00	Active Listening
39-7012.00	Speaking
39-7012.00	Social Perceptiveness
39-7012.00	Coordination
39-7012.00	Service Orientation
39-9011.00	Active Listening
39-9011.00	Speaking
39-9011.00	Monitoring
39-9011.00	Social Perceptiveness
39-9011.00	Service Orientation
39-9032.00	Active Listening
39-9032.00	Speaking
39-9032.00	Social Perceptiveness
39-9032.00	Coordination
39-9032.00	Service Orientation
39-9041.00	Active Listening
39-9041.00	Speaking
39-9041.00	Monitoring
39-9041.00	Social Perceptiveness
39-9041.00	Coordination
41-1011.00	Active Listening
41-1011.00	Speaking
41-1011.00	Critical Thinking
41-1011.00	Monitoring
41-1011.00	Service Orientation
41-1012.00	Active Listening
41-1012.00	Speaking
41-1012.00	Monitoring
41-1012.00	Social Perceptiveness
41-1012.00	Management of Personnel Resources
41-2011.00	Reading Comprehension
41-2011.00	Active Listening
41-2011.00	Speaking
41-2011.00	Social Perceptiveness
41-2011.00	Service Orientation
41-2012.00	Reading Comprehension
41-2012.00	Active Listening
41-2012.00	Speaking
41-2012.00	Social Perceptiveness
41-2012.00	Coordination
41-2021.00	Reading Comprehension
41-2021.00	Active Listening
41-2021.00	Speaking
41-2021.00	Critical Thinking
41-2021.00	Service Orientation
41-2022.00	Reading Comprehension
41-2022.00	Active Listening
41-2022.00	Speaking
41-2022.00	Persuasion
41-2022.00	Service Orientation
41-2031.00	Active Listening
41-2031.00	Speaking
41-2031.00	Social Perceptiveness
41-2031.00	Persuasion
41-2031.00	Service Orientation
41-3011.00	Active Listening
41-3011.00	Speaking
41-3011.00	Social Perceptiveness
41-3011.00	Persuasion
41-3011.00	Service Orientation
41-3021.00	Reading Comprehension
41-3021.00	Active Listening
41-3021.00	Writing
41-3021.00	Speaking
41-3021.00	Critical Thinking
41-3031.00	Reading Comprehension
41-3031.00	Active Listening
41-3031.00	Critical Thinking
41-3031.00	Monitoring
41-3031.00	Judgment and Decision Making
41-3041.00	Reading Comprehension
41-3041.00	Active Listening
41-3041.00	Speaking
41-3041.00	Social Perceptiveness
41-3041.00	Service Orientation
41-4011.00	Active Listening
41-4011.00	Speaking
41-4011.00	Social Perceptiveness
41-4011.00	Persuasion
41-4011.00	Negotiation
41-4011.07	Reading Comprehension
41-4011.07	Active Listening
41-4011.07	Speaking
41-4011.07	Persuasion
41-4011.07	Service Orientation
41-4012.00	Active Listening
41-4012.00	Speaking
41-4012.00	Social Perceptiveness
41-4012.00	Persuasion
41-4012.00	Negotiation
41-9011.00	Reading Comprehension
41-9011.00	Active Listening
41-9011.00	Speaking
41-9011.00	Persuasion
41-9011.00	Service Orientation
41-9012.00	Active Listening
41-9012.00	Speaking
41-9012.00	Critical Thinking
41-9012.00	Social Perceptiveness
41-9012.00	Coordination
41-9021.00	Reading Comprehension
41-9021.00	Active Listening
41-9021.00	Speaking
41-9021.00	Critical Thinking
41-9021.00	Active Learning
41-9031.00	Reading Comprehension
41-9031.00	Active Listening
41-9031.00	Speaking
41-9031.00	Critical Thinking
41-9031.00	Persuasion
41-9041.00	Reading Comprehension
41-9041.00	Active Listening
41-9041.00	Speaking
41-9041.00	Persuasion
41-9041.00	Service Orientation
43-1011.00	Reading Comprehension
43-1011.00	Active Listening
43-1011.00	Speaking
43-1011.00	Monitoring
43-1011.00	Social Perceptiveness
43-2011.00	Reading Comprehension
43-2011.00	Active Listening
43-2011.00	Speaking
43-2011.00	Social Perceptiveness
43-2011.00	Service Orientation
43-2021.00	Reading Comprehension
43-2021.00	Active Listening
43-2021.00	Speaking
43-2021.00	Social Perceptiveness
43-2021.00	Service Orientation
43-3011.00	Active Listening
43-3011.00	Writing
43-3011.00	Speaking
43-3011.00	Social Perceptiveness
43-3011.00	Persuasion
43-3021.00	Reading Comprehension
43-3021.00	Active Listening
43-3021.00	Speaking
43-3021.00	Mathematics
43-3021.00	Critical Thinking
43-3031.00	Reading Comprehension
43-3031.00	Active Listening
43-3031.00	Writing
43-3031.00	Mathematics
43-3031.00	Critical Thinking
43-3041.00	Reading Comprehension
43-3041.00	Active Listening
43-3041.00	Writing
43-3041.00	Speaking
43-3041.00	Mathematics
43-3051.00	Reading Comprehension
43-3051.00	Active Listening
43-3051.00	Writing
43-3051.00	Speaking
43-3051.00	Mathematics
43-3061.00	Reading Comprehension
43-3061.00	Active Listening
43-3061.00	Writing
43-3061.00	Speaking
43-3061.00	Critical Thinking
43-3071.00	Reading Comprehension
43-3071.00	Active Listening
43-3071.00	Speaking
43-3071.00	Critical Thinking
43-3071.00	Monitoring
43-4011.00	Reading Comprehension
43-4011.00	Active Listening
43-4011.00	Speaking
43-4011.00	Critical Thinking
43-4011.00	Time Management
43-4021.00	Reading Comprehension
43-4021.00	Active Listening
43-4021.00	Writing
43-4021.00	Speaking
43-4021.00	Critical Thinking
43-4031.00	Reading Comprehension
43-4031.00	Active Listening
43-4031.00	Writing
43-4031.00	Speaking
43-4031.00	Critical Thinking
43-4051.00	Reading Comprehension
43-4051.00	Active Listening
43-4051.00	Speaking
43-4051.00	Critical Thinking
43-4051.00	Service Orientation
43-4061.00	Reading Comprehension
43-4061.00	Active Listening
43-4061.00	Writing
43-4061.00	Speaking
43-4061.00	Social Perceptiveness
43-4071.00	Reading Comprehension
43-4071.00	Active Listening
43-4071.00	Writing
43-4071.00	Speaking
43-4071.00	Monitoring
43-4081.00	Active Listening
43-4081.00	Speaking
43-4081.00	Social Perceptiveness
43-4081.00	Coordination
43-4081.00	Service Orientation
43-4111.00	Reading Comprehension
43-4111.00	Active Listening
43-4111.00	Writing
43-4111.00	Speaking
43-4111.00	Social Perceptiveness
43-4121.00	Reading Comprehension
43-4121.00	Active Listening
43-4121.00	Writing
43-4121.00	Speaking
43-4121.00	Service Orientation
43-4131.00	Reading Comprehension
43-4131.00	Active Listening
43-4131.00	Writing
43-4131.00	Speaking
43-4131.00	Critical Thinking
43-4141.00	Reading Comprehension
43-4141.00	Active Listening
43-4141.00	Speaking
43-4141.00	Social Perceptiveness
43-4141.00	Service Orientation
43-4151.00	Reading Comprehension
43-4151.00	Active Listening
43-4151.00	Writing
43-4151.00	Speaking
43-4151.00	Service Orientation
43-4161.00	Reading Comprehension
43-4161.00	Active Listening
43-4161.00	Writing
43-4161.00	Speaking
43-4161.00	Critical Thinking
43-4171.00	Reading Comprehension
43-4171.00	Active Listening
43-4171.00	Speaking
43-4171.00	Critical Thinking
43-4171.00	Service Orientation
43-4181.00	Reading Comprehension
43-4181.00	Active Listening
43-4181.00	Speaking
43-4181.00	Social Perceptiveness
43-4181.00	Service Orientation
43-5011.00	Reading Comprehension
43-5011.00	Active Listening
43-5011.00	Speaking
43-5011.00	Critical Thinking
43-5011.00	Negotiation
43-5011.01	Reading Comprehension
43-5011.01	Active Listening
43-5011.01	Critical Thinking
43-5011.01	Monitoring
43-5011.01	Coordination
43-5021.00	Reading Comprehension
43-5021.00	Active Listening
43-5021.00	Writing
43-5021.00	Speaking
43-5021.00	Time Management
43-5031.00	Active Listening
43-5031.00	Speaking
43-5031.00	Critical Thinking
43-5031.00	Social Perceptiveness
43-5031.00	Coordination
43-5032.00	Reading Comprehension
43-5032.00	Active Listening
43-5032.00	Speaking
43-5032.00	Monitoring
43-5032.00	Coordination
43-5041.00	Reading Comprehension
43-5041.00	Active Listening
43-5041.00	Speaking
43-5041.00	Critical Thinking
43-5041.00	Service Orientation
43-5051.00	Reading Comprehension
43-5051.00	Active Listening
43-5051.00	Speaking
43-5051.00	Critical Thinking
43-5051.00	Service Orientation
43-5052.00	Active Listening
43-5052.00	Speaking
43-5052.00	Critical Thinking
43-5052.00	Social Perceptiveness
43-5052.00	Time Management
43-5053.00	Reading Comprehension
43-5053.00	Speaking
43-5053.00	Critical Thinking
43-5053.00	Monitoring
43-5053.00	Coordination
43-5061.00	Reading Comprehension
43-5061.00	Active Listening
43-5061.00	Speaking
43-5061.00	Critical Thinking
43-5061.00	Time Management
43-5071.00	Reading Comprehension
43-5071.00	Active Listening
43-5071.00	Speaking
43-5071.00	Critical Thinking
43-5071.00	Monitoring
43-5111.00	Reading Comprehension
43-5111.00	Active Listening
43-5111.00	Speaking
43-5111.00	Critical Thinking
43-5111.00	Monitoring
43-6011.00	Reading Comprehension
43-6011.00	Active Listening
43-6011.00	Writing
43-6011.00	Speaking
43-6011.00	Service Orientation
43-6012.00	Reading Comprehension
43-6012.00	Active Listening
43-6012.00	Writing
43-6012.00	Speaking
43-6012.00	Time Management
43-6013.00	Reading Comprehension
43-6013.00	Active Listening
43-6013.00	Writing
43-6013.00	Speaking
43-6013.00	Service Orientation
43-6014.00	Reading Comprehension
43-6014.00	Active Listening
43-6014.00	Writing
43-6014.00	Speaking
43-6014.00	Service Orientation
43-9021.00	Reading Comprehension
43-9021.00	Active Listening
43-9021.00	Writing
43-9021.00	Monitoring
43-9021.00	Time Management
43-9022.00	Reading Comprehension
43-9022.00	Active Listening
43-9022.00	Writing
43-9022.00	Speaking
43-9022.00	Monitoring
43-9031.00	Reading Comprehension
43-9031.00	Active Listening
43-9031.00	Speaking
43-9031.00	Critical Thinking
43-9031.00	Judgment and Decision Making
43-9041.00	Reading Comprehension
43-9041.00	Active Listening
43-9041.00	Speaking
43-9041.00	Critical Thinking
43-9041.00	Time Management
43-9051.00	Reading Comprehension
43-9051.00	Speaking
43-9051.00	Critical Thinking
43-9051.00	Monitoring
43-9051.00	Time Management
43-9061.00	Reading Comprehension
43-9061.00	Active Listening
43-9061.00	Writing
43-9061.00	Speaking
43-9061.00	Critical Thinking
43-9071.00	Reading Comprehension
43-9071.00	Active Listening
43-9071.00	Speaking
43-9071.00	Operations Monitoring
43-9071.00	Operation and Control
43-9081.00	Reading Comprehension
43-9081.00	Active Listening
43-9081.00	Writing
43-9081.00	Speaking
43-9081.00	Critical Thinking
43-9111.00	Reading Comprehension
43-9111.00	Mathematics
43-9111.00	Critical Thinking
43-9111.00	Active Learning
43-9111.00	Complex Problem Solving
45-1011.00	Reading Comprehension
45-1011.00	Speaking
45-1011.00	Critical Thinking
45-1011.00	Monitoring
45-1011.00	Coordination
