O*NET-SOC Code	Element Name
13-2031.00	Mathematics
13-2031.00	Critical Thinking
13-2072.00	Reading Comprehension
13-2072.00	Active Listening
13-2072.00	Speaking
13-2072.00	Critical Thinking
13-2072.00	Judgment and Decision Making
13-2081.00	Reading Comprehension
13-2081.00	Active Listening
13-2081.00	Writing
13-2081.00	Speaking
13-2081.00	Critical Thinking
15-1211.00	Reading Comprehension
15-1211.00	Active Listening
15-1211.00	Speaking
15-1211.00	Critical Thinking
15-1211.00	Systems Analysis
15-1212.00	Reading Comprehension
15-1212.00	Active Listening
15-1212.00	Speaking
15-1212.00	Critical Thinking
15-1212.00	Complex Problem Solving
15-1221.00	Reading Comprehension
15-1221.00	Active Listening
15-1221.00	Critical Thinking
15-1221.00	Complex Problem Solving
15-1221.00	Judgment and Decision Making
15-1231.00	Reading Comprehension
15-1231.00	Active Listening
15-1231.00	Speaking
15-1231.00	Critical Thinking
15-1231.00	Judgment and Decision Making
15-1232.00	Reading Comprehension
15-1232.00	Active Listening
15-1232.00	Speaking
15-1232.00	Critical Thinking
15-1232.00	Complex Problem Solving
15-1242.00	Reading Comprehension
15-1242.00	Active Listening
15-1242.00	Critical Thinking
15-1242.00	Complex Problem Solving
15-1242.00	Judgment and Decision Making
15-1244.00	Reading Comprehension
15-1244.00	Active Listening
15-1244.00	Critical Thinking
15-1244.00	Judgment and Decision Making
15-1244.00	Systems Analysis
15-1251.00	Active Listening
15-1251.00	Critical Thinking
15-1251.00	Complex Problem Solving
15-1251.00	Programming
15-1251.00	Quality Control Analysis
15-1252.00	Reading Comprehension
15-1252.00	Critical Thinking
15-1252.00	Active Learning
15-1252.00	Judgment and Decision Making
15-2099.01	Reading Comprehension
15-2099.01	Active Listening
15-2099.01	Writing
15-2099.01	Critical Thinking
15-2099.01	Active Learning
17-1021.00	Reading Comprehension
17-1021.00	Active Listening
17-1021.00	Writing
17-1021.00	Critical Thinking
17-1021.00	Active Learning
17-2011.00	Reading Comprehension
17-2011.00	Active Listening
17-2011.00	Writing
17-2011.00	Science
17-2011.00	Critical Thinking
17-2071.00	Reading Comprehension
17-2071.00	Active Listening
17-2071.00	Writing
17-2071.00	Speaking
17-2071.00	Critical Thinking
17-2072.00	Reading Comprehension
17-2072.00	Active Listening
17-2072.00	Speaking
17-2072.00	Critical Thinking
17-2072.00	Complex Problem Solving
17-2072.01	Reading Comprehension
17-2072.01	Active Listening
17-2072.01	Speaking
17-2072.01	Critical Thinking
17-2072.01	Complex Problem Solving
17-2112.00	Reading Comprehension
17-2112.00	Active Listening
17-2112.00	Speaking
17-2112.00	Critical Thinking
17-2112.00	Complex Problem Solving
17-2141.00	Reading Comprehension
17-2141.00	Active Listening
17-2141.00	Mathematics
17-2141.00	Science
17-2141.00	Critical Thinking
17-2151.00	Reading Comprehension
17-2151.00	Writing
17-2151.00	Speaking
17-2151.00	Critical Thinking
17-2151.00	Complex Problem Solving
17-2171.00	Reading Comprehension
17-2171.00	Active Listening
17-2171.00	Writing
17-2171.00	Speaking
17-2171.00	Critical Thinking
17-2199.05	Reading Comprehension
17-2199.05	Writing
17-2199.05	Critical Thinking
17-2199.05	Complex Problem Solving
17-2199.05	Judgment and Decision Making
17-2199.06	Reading Comprehension
17-2199.06	Active Listening
17-2199.06	Writing
17-2199.06	Critical Thinking
17-2199.06	Complex Problem Solving
17-2199.10	Reading Comprehension
17-2199.10	Active Listening
17-2199.10	Mathematics
17-2199.10	Critical Thinking
17-2199.10	Judgment and Decision Making
17-3012.00	Reading Comprehension
17-3012.00	Active Listening
17-3012.00	Writing
17-3012.00	Critical Thinking
17-3012.00	Judgment and Decision Making
17-3013.00	Reading Comprehension
17-3013.00	Active Listening
17-3013.00	Mathematics
17-3013.00	Critical Thinking
17-3013.00	Active Learning
17-3021.00	Reading Comprehension
17-3021.00	Active Listening
17-3021.00	Critical Thinking
17-3021.00	Operations Monitoring
17-3021.00	Quality Control Analysis
17-3022.00	Reading Comprehension
17-3022.00	Active Listening
17-3022.00	Speaking
17-3022.00	Mathematics
17-3022.00	Critical Thinking
17-3024.00	Critical Thinking
17-3024.00	Monitoring
17-3024.00	Operations Monitoring
17-3024.00	Troubleshooting
17-3024.00	Repairing
17-3025.00	Reading Comprehension
17-3025.00	Active Listening
17-3025.00	Speaking
17-3025.00	Critical Thinking
17-3025.00	Active Learning
17-3026.00	Reading Comprehension
17-3026.00	Active Listening
17-3026.00	Critical Thinking
17-3026.00	Monitoring
17-3026.00	Complex Problem Solving
17-3027.00	Reading Comprehension
17-3027.00	Active Listening
17-3027.00	Speaking
17-3027.00	Critical Thinking
17-3027.00	Complex Problem Solving
19-1023.00	Reading Comprehension
19-1023.00	Active Listening
19-1023.00	Speaking
19-1023.00	Critical Thinking
19-1023.00	Complex Problem Solving
19-1029.01	Reading Comprehension
19-1029.01	Active Listening
